world,G,total_airtime,hotspot_airtime,coverage,total_drop,hotspot_drop
"STAR (1 hub + 100 leaves, 20B reports)",1,4006.0,41.88,90.0,1.0,1.0
"STAR (1 hub + 100 leaves, 20B reports)",5,2459.2,26.02,93.5,1.63,1.61
"STAR (1 hub + 100 leaves, 20B reports)",10,2207.9,23.35,93.5,1.81,1.79
"STAR (1 hub + 100 leaves, 20B reports)",20,2042.1,21.6,93.5,1.96,1.94
"STAR (1 hub + 100 leaves, 20B reports)",40,1983.0,20.97,93.5,2.02,2.0
"STAR (1 hub + 100 leaves, 4B delta reports)",1,2501.4,26.15,90.0,1.0,1.0
"STAR (1 hub + 100 leaves, 4B delta reports)",5,1102.3,11.65,93.5,2.27,2.24
"STAR (1 hub + 100 leaves, 4B delta reports)",10,778.8,8.23,93.5,3.21,3.18
"STAR (1 hub + 100 leaves, 4B delta reports)",20,631.0,6.66,93.5,3.96,3.93
"STAR (1 hub + 100 leaves, 4B delta reports)",40,571.9,6.03,93.5,4.37,4.33
DENSE (3x20 cliques + bridges),1,1296.2,22.97,83.0,1.0,1.0
DENSE (3x20 cliques + bridges),5,834.7,16.44,83.9,1.55,1.4
DENSE (3x20 cliques + bridges),10,752.2,14.78,83.9,1.72,1.55
DENSE (3x20 cliques + bridges),20,702.9,13.8,83.9,1.84,1.66
DENSE (3x20 cliques + bridges),40,702.9,13.8,83.9,1.84,1.66
NORWAY replay (sparse organic),1,11680.3,320.77,20.8,1.0,1.0
NORWAY replay (sparse organic),5,12150.3,328.29,21.3,0.96,0.98
NORWAY replay (sparse organic),10,12029.5,323.93,21.3,0.97,0.99
NORWAY replay (sparse organic),20,12029.5,323.93,21.3,0.97,0.99
NORWAY replay (sparse organic),40,12029.5,323.93,21.3,0.97,0.99
