policy,scale,equiv_nodes,equiv_active_per_hour,packets_per_hour,mean_util,p95_util,p99_util,tx_per_packet,broadcast_coverage,unicast_delivery
managed flood,0.5,250,48,194,1.43,6.33,10.24,8.22,19.79,23.29
improved stack,0.5,250,48,194,1.32,5.74,9.1,7.39,19.47,25.98
managed flood,1.0,499,96,387,2.71,11.84,19.14,7.84,18.37,23.34
improved stack,1.0,499,96,387,2.5,10.69,17.16,7.07,18.48,27.26
managed flood,1.25,624,120,484,3.27,14.14,23.07,7.6,17.99,22.69
improved stack,1.25,624,120,484,3.06,13.07,20.74,6.95,18.25,26.73
managed flood,1.5,748,144,580,3.8,16.37,27.15,7.37,17.32,22.08
improved stack,1.5,748,144,580,3.61,15.39,24.62,6.8,17.58,27.62
managed flood,2.0,998,192,774,4.79,20.41,33.95,6.99,16.54,21.51
improved stack,2.0,998,192,774,4.57,19.36,31.14,6.48,16.67,27.57
managed flood,2.5,1248,240,968,5.61,23.85,39.38,6.57,15.47,20.72
improved stack,2.5,1248,240,968,5.46,22.68,37.09,6.2,15.81,28.44
managed flood,3.0,1497,288,1161,6.38,26.9,44.41,6.26,14.86,19.4
improved stack,3.0,1497,288,1161,6.22,25.79,41.9,5.91,14.96,27.9
managed flood,3.5,1746,336,1354,7.06,29.32,48.25,5.98,14.11,18.23
improved stack,3.5,1746,336,1354,6.9,28.25,45.93,5.68,14.38,25.9
managed flood,4.0,1996,384,1548,7.65,31.38,52.09,5.7,13.66,17.25
improved stack,4.0,1996,384,1548,7.6,30.71,50.53,5.51,13.86,25.88
managed flood,5.0,2495,480,1935,8.71,35.16,59.05,5.27,12.55,16.67
improved stack,5.0,2495,480,1935,8.72,34.73,56.86,5.11,12.67,25.03
managed flood,6.0,2994,577,2322,9.64,38.57,64.77,4.9,11.71,15.09
improved stack,6.0,2994,577,2322,9.74,38.25,63.13,4.82,11.85,22.43
