source_node_id	hour	msgs
!10a406ad	2026-06-27 14:00:00	6
!10a406ad	2026-06-27 15:00:00	3
!10a406ad	2026-06-27 23:00:00	2
!10a406ad	2026-06-28 00:00:00	1
!10a406ad	2026-06-28 02:00:00	2
!10a406ad	2026-06-28 03:00:00	1
!10a406ad	2026-06-28 05:00:00	1
!10a406ad	2026-06-28 07:00:00	1
!10a406ad	2026-06-28 08:00:00	1
!10a406ad	2026-06-28 09:00:00	5
!10a406ad	2026-06-28 12:00:00	8
!10a406ad	2026-06-28 15:00:00	2
!10a406ad	2026-06-28 17:00:00	2
!10a406ad	2026-06-28 23:00:00	2
!10a406ad	2026-06-29 00:00:00	10
!10a406ad	2026-06-29 03:00:00	14
!10a406ad	2026-06-29 05:00:00	6
!10a406ad	2026-06-29 06:00:00	4
!10a406ad	2026-06-29 08:00:00	2
!10a406ad	2026-06-29 09:00:00	8
!10a406ad	2026-06-29 12:00:00	4
!10a406ad	2026-06-29 15:00:00	12
!10a406ad	2026-06-29 16:00:00	2
!10a406ad	2026-06-29 18:00:00	2
!10a406ad	2026-06-29 19:00:00	2
!10a406ad	2026-06-29 21:00:00	2
!10a406ad	2026-06-29 23:00:00	4
!10a406ad	2026-06-30 01:00:00	6
!10a406ad	2026-06-30 03:00:00	12
!10a406ad	2026-06-30 06:00:00	2
!10a406ad	2026-06-30 07:00:00	4
!10a406ad	2026-06-30 12:00:00	6
!10a406ad	2026-06-30 15:00:00	4
!10a406ad	2026-06-30 20:00:00	4
!10a406ad	2026-06-30 21:00:00	2
!10a406ad	2026-06-30 23:00:00	6
!10a406ad	2026-07-01 00:00:00	4
!10a406ad	2026-07-01 03:00:00	8
!10a406ad	2026-07-01 04:00:00	4
!10a406ad	2026-07-01 06:00:00	8
!10a406ad	2026-07-01 07:00:00	6
!10a406ad	2026-07-01 09:00:00	4
!10a406ad	2026-07-01 10:00:00	6
!10a406ad	2026-07-01 12:00:00	8
!10a406ad	2026-07-01 17:00:00	8
!10a406ad	2026-07-01 18:00:00	6
!10a406ad	2026-07-01 22:00:00	6
!10a406ad	2026-07-02 00:00:00	16
!10a406ad	2026-07-02 03:00:00	12
!10a406ad	2026-07-02 04:00:00	6
!10a406ad	2026-07-02 05:00:00	12
!10a406ad	2026-07-02 06:00:00	12
!10a406ad	2026-07-02 09:00:00	4
!10a406ad	2026-07-02 11:00:00	4
!10a406ad	2026-07-02 13:00:00	2
!10a406ad	2026-07-02 14:00:00	4
!10a406ad	2026-07-02 16:00:00	2
!10a406ad	2026-07-02 18:00:00	2
!10a406ad	2026-07-02 19:00:00	2
!10a406ad	2026-07-03 00:00:00	2
!10a406ad	2026-07-03 01:00:00	4
!10a406ad	2026-07-03 03:00:00	4
!10a406ad	2026-07-03 04:00:00	2
