"src","dst","heardCount","snrAvg","lastSeen"
"""!8125194""","""!d45b9c38""","2","-40","""2026-06-30T19:05:58.967386627Z"""
"""!4c5a728""","""!bc904758""","4","-33","""2026-07-03T21:06:48.067613757Z"""
"""!4063ec8""","""!407de14""","2","-32","""2026-07-03T06:45:56.050789701Z"""
"""!4063ec8""","""!de02e496""","1","-1","""2026-06-27T14:05:50.13558106Z"""
"""!4063ec8""","""!27b94bd8""","2","50","""2026-07-02T23:27:07.398079552Z"""
"""!4063ec8""","""!3246d8b9""","2","51","""2026-06-28T19:26:49.567919604Z"""
"""!4063ec8""","""!433c7c48""","6","5.66667","""2026-07-03T18:52:34.387730106Z"""
"""!4063ec8""","""!44a744ee""","5","24.4","""2026-06-30T18:52:32.048021745Z"""
"""!4063ec8""","""!da7e6915""","1","-46","""2026-06-27T14:03:00.755685753Z"""
"""!5bffe1e""","""!3246d8b9""","1","41","""2026-06-27T15:14:16.153436687Z"""
"""!5bffe1e""","""!f66adc9c""","1","-40","""2026-06-28T10:59:06.385107134Z"""
"""!2eb8e7c""","""!699be574""","2","53","""2026-07-03T13:58:41.068684223Z"""
"""!2eb8e7c""","""!1f12a430""","6","43","""2026-07-02T04:09:41.714128934Z"""
"""!2eb8e7c""","""!f669c568""","4","-45","""2026-07-02T22:05:18.175616034Z"""
"""!2eb8e7c""","""!435690a4""","2","-20","""2026-06-30T14:20:15.363277078Z"""
"""!2eb8e7c""","""!699be2e8""","2","-41","""2026-07-01T10:11:46.538470879Z"""
"""!2eb8e7c""","""!64e26f73""","6","10","""2026-07-01T02:12:17.876586743Z"""
"""!2eb8e7c""","""!bfa97d12""","38","12.2632","""2026-07-04T06:33:00.355732294Z"""
"""!2eb8e7c""","""!699b11f0""","4","3.5","""2026-07-02T03:17:18.82834741Z"""
"""!2eb8e7c""","""!4358e164""","2","-6","""2026-06-29T04:18:09.851169166Z"""
"""!2eb8e7c""","""!a1d75fc4""","4","10.5","""2026-07-01T22:04:55.718014227Z"""
"""!2eb8e7c""","""!6a1ed941""","48","47.1667","""2026-07-04T04:13:11.959105844Z"""
"""!2eb8e7c""","""!406c77c""","2","10","""2026-07-02T04:09:35.020888635Z"""
"""!2eb8e7c""","""!d45b9c38""","4","-33","""2026-06-30T19:07:21.17882782Z"""
"""!2eb8e7c""","""!6985aa24""","4","-15","""2026-07-02T02:15:21.66391263Z"""
"""!2eb8e7c""","""!bc26463f""","2","-9","""2026-07-03T01:44:54.410870916Z"""
"""!4c582fc""","""!b03e0068""","2","34","""2026-06-27T14:55:14.926728189Z"""
"""!4c582fc""","""!1f12a430""","4","54","""2026-06-28T13:23:44.293614918Z"""
"""!43a92a8""","""!f669c568""","4","-43","""2026-06-30T12:45:57.633076456Z"""
"""!43a92a8""","""!1f12a430""","4","40","""2026-07-02T02:49:28.794578549Z"""
"""!43a92a8""","""!bfa97d12""","2","52","""2026-06-28T02:33:32.621013242Z"""
"""!43a92a8""","""!1ba234d4""","4","-43","""2026-07-03T07:17:54.57836278Z"""
"""!43a92a8""","""!ed1b5999""","4","54","""2026-07-03T22:33:02.027781452Z"""
"""!43a92a8""","""!6a1ed941""","53","48.4906","""2026-07-04T06:49:26.963836036Z"""
"""!aca39a8""","""!3a4c8ad4""","2","-7","""2026-07-03T18:26:10.901667762Z"""
"""!aca39a8""","""!433c7c48""","4","7.5","""2026-07-03T21:31:32.927361141Z"""
"""!aca39a8""","""!f66adc9c""","2","53","""2026-07-02T17:50:58.629149639Z"""
"""!42ccb37""","""!672f1873""","6","-40","""2026-07-01T06:49:06.841584447Z"""
"""!42ccb37""","""!433ddd98""","7","-28.4286","""2026-06-28T08:54:52.865541455Z"""
"""!42ccb37""","""!d6da69b0""","3","-34","""2026-06-27T15:19:07.732661415Z"""
"""!42ccb37""","""!e17c1baf""","35","9.25714","""2026-07-03T11:04:57.988969646Z"""
"""!42ccb37""","""!650cd503""","6","-15.5","""2026-06-28T09:03:08.263388994Z"""
"""!42ccb37""","""!a457ddcd""","2","-4","""2026-07-04T11:09:25.506805393Z"""
"""!4677cab""","""!ed1b5999""","6","50.3333","""2026-07-03T22:34:35.154501734Z"""
"""!4677cab""","""!bc26463f""","12","28.6667","""2026-07-02T02:04:40.953385441Z"""
"""!4677cab""","""!33917655""","4","-36","""2026-06-29T13:08:58.85029957Z"""
"""!4677cab""","""!6a1ed941""","56","47.75","""2026-07-04T09:07:34.29078098Z"""
"""!4677cab""","""!d6e141e7""","4","-41","""2026-07-02T10:30:28.717498431Z"""
"""!4677cab""","""!1a036b16""","2","-27","""2026-06-29T02:37:00.189779344Z"""
"""!4677cab""","""!435690a4""","4","-31","""2026-07-03T01:56:08.752350243Z"""
"""!4677cab""","""!64e26f73""","2","-19","""2026-06-28T22:21:56.587051489Z"""
"""!4677cab""","""!0e60ec89""","4","-35","""2026-06-29T19:30:28.533762055Z"""
"""!4677cab""","""!bc904758""","18","1.33333","""2026-07-03T07:19:46.397622532Z"""
"""!4677cab""","""!bfa97d12""","10","-19.6","""2026-07-03T23:43:03.959078687Z"""
