"id","short","long","role","hw","hasPos","lat","lon","lastSeen","msgCount","avgHopStart","geoCluster"
"""!8125194""","""AK83""","""LB5RK-QTH-Router""","""ROUTER""","""RAK11200""","true","61.2237","10.7348","""2026-07-04T11:05:24.917184421Z""","1810","4.98394","""61.20_10.70"""
"""!400a2bc""","""a2bc""","""Meshtastic a2bc""","""CLIENT""","""HELTEC_V3""","false","0","0","""2026-06-27T23:48:42.731308788Z""","2","6",""""""
"""!4c5a728""","""a728""","""Meshtastic a728""","""CLIENT_MUTE""","""HELTEC_V4""","true","59.9523","10.7217","""2026-07-04T09:59:01.965106334Z""","84","4","""59.95_10.70"""
"""!4063ec8""","""""","""""","""CLIENT_BASE""","""""","false","0","0","""2026-07-04T08:50:24.769869808Z""","187","2.98396",""""""
"""!407de14""","""dksr""","""Darkstar""","""CLIENT_BASE""","""HELTEC_V3""","false","0","0","""2026-07-03T20:50:30.5759042Z""","96","4.83333",""""""
"""!2ebf210""","""""","""""","""""","""""","false","0","0","""2026-06-30T18:12:24.238699451Z""","6","3",""""""
"""!40829b8""","""dotn""","""DotNode""","""""","""HELTEC_V3""","true","59.6509","11.0756","""2026-07-04T10:25:56.757018779Z""","310","0","""59.65_11.05"""
"""!43332ec""","""kt""","""Kjetil ""","""CLIENT""","""HELTEC_V3""","true","62.7311","7.20896","""2026-06-28T19:02:36.232279171Z""","18","2.55556","""62.70_7.20"""
"""!5bffe1e""","""🐦""","""Ugagnskraake""","""CLIENT""","""T_ECHO""","true","58.9627","5.72129","""2026-07-01T00:18:52.844769483Z""","125","6.968","""58.95_5.70"""
"""!2eb8e7c""","""yvn1""","""yvn 🏠 Bjørvika""","""CLIENT_BASE""","""HELTEC_V3""","true","59.8999","10.7741","""2026-07-04T08:59:19.458312494Z""","534","4.59586","""59.85_10.75"""
"""!4c582fc""","""Erko""","""OSLO-CLIENT-ERKO-HEL_GLAS🇸🇯""","""CLIENT_MUTE""","""HELTEC_V4""","true","59.9523","10.6693","""2026-07-04T09:39:09.300292688Z""","107","4.94393","""59.95_10.65"""
"""!43a92a8""","""MUNK""","""Munkerud Red Leader""","""ROUTER""","""HELTEC_V3""","true","59.854","10.8069","""2026-07-04T06:49:26.963836036Z""","97","4.8866","""59.85_10.80"""
"""!96090e7""","""""","""""","""""","""""","false","0","0","""2026-06-27T21:19:28.612883031Z""","1","3",""""""
"""!e60ec89""","""keks""","""kek svAtion ek89""","""CLIENT""","""RAK4631""","true","59.9032","10.7971","""2026-06-27T23:48:23.901147557Z""","2","5","""59.90_10.75"""
"""!ac9f8a4""","""""","""""","""""","""""","false","0","0","""2026-06-27T14:23:22.956494845Z""","1","3",""""""
"""!ac9cf04""","""""","""""","""""","""""","false","0","0","""2026-06-28T21:57:43.861947174Z""","22","4.72727",""""""
"""!408e834""","""G834""","""BODØ Skivika BASE Gullz""","""CLIENT_BASE""","""HELTEC_V3""","true","67.3055","14.431","""2026-07-04T11:01:49.224117162Z""","458","3","""67.30_14.40"""
"""!4093fc0""","""BRLK""","""Brattlikollen Rooftop""","""CLIENT_BASE""","""HELTEC_V3""","false","0","0","""2026-06-27T23:51:07.333562528Z""","4","6",""""""
"""!845b9bf""","""""","""""","""CLIENT_BASE""","""""","true","59.9097","10.8364","""2026-07-04T10:53:53.19832407Z""","1819","3","""59.90_10.80"""
"""!4c57c38""","""Erko""","""Erko Heltec v4 TFT Meshtastic 7c38""","""CLIENT_MUTE""","""HELTEC_V4""","true","59.9392","10.6824","""2026-06-27T23:50:55.619537868Z""","7","6.57143","""59.90_10.65"""
"""!aca39a8""","""""","""""","""CLIENT_BASE""","""""","true","58.7465","5.68852","""2026-07-04T11:11:26.553376028Z""","704","3","""58.70_5.65"""
"""!2f5c0dc""","""c0dc""","""Høglia n""","""ROUTER_LATE""","""T_ECHO_LITE""","true","62.7737","7.90692","""2026-07-04T08:00:22.46858184Z""","88","2.5814","""62.75_7.90"""
"""!406a000""","""SIGG""","""Siggis""","""CLIENT""","""HELTEC_V3""","false","0","0","""2026-06-27T23:48:29.692646652Z""","1","5",""""""
"""!42ccb37""","""Topp""","""Opp og ut""","""ROUTER_LATE""","""RAK4631""","true","64.0156","11.0625","""2026-07-04T11:09:25.506805393Z""","1559","4.89518","""64.00_11.05"""
"""!40840a0""","""40a0""","""Heltec v3 IP 40a0""","""CLIENT_MUTE""","""HELTEC_V3""","true","61.2303","7.08444","""2026-07-04T11:06:49.858440011Z""","3535","6.93411","""61.20_7.05"""
"""!f28267c""","""""","""""","""""","""""","false","0","0","""2026-07-03T13:37:26.289330402Z""","8","3.75",""""""
"""!432bc98""","""BJ37""","""BjoJul6037""","""CLIENT""","""HELTEC_V3""","true","62.4165","6.31767","""2026-07-04T10:11:13.815298034Z""","42","5","""62.40_6.30"""
"""!4836d0b""","""""","""""","""""","""""","false","0","0","""2026-07-04T08:58:01.879249837Z""","11","2.81818",""""""
"""!2c94704""","""""","""""","""""","""""","false","0","0","""2026-06-28T21:55:22.362068902Z""","4","5",""""""
"""!4677cab""","""HOEG""","""SIGDAL-HØGEVARDE-ROUTER""","""ROUTER""","""RAK4631""","true","60.3193","9.4634","""2026-07-04T10:43:36.125986268Z""","1348","6.77596","""60.30_9.45"""
"""!400a3ac""","""B868""","""LB7LG B868 Bridge""","""CLIENT""","""HELTEC_V3""","true","61.1189","10.4727","""2026-07-04T10:52:03.510927724Z""","544","3","""61.10_10.45"""
"""!4063acc""","""3acc""","""Kestn""","""CLIENT""","""HELTEC_V3""","true","60.3922","5.31579","""2026-07-04T11:09:50.864836419Z""","1150","6.76749","""60.35_5.30"""
"""!950b01a""","""""","""""","""CLIENT_MUTE""","""""","true","58.7989","5.58367","""2026-07-04T11:08:28.392860947Z""","363","4.01102","""58.75_5.55"""
"""!cf18ada""","""""","""""","""""","""""","false","0","0","""2026-07-03T15:16:43.183485302Z""","25","3",""""""
"""!6e7cc8e""","""""","""""","""""","""""","false","0","0","""2026-06-28T19:02:13.98861222Z""","8","3",""""""
"""!40859f0""","""OSLG""","""Oslo Grønland""","""CLIENT_MUTE""","""HELTEC_V3""","true","59.8999","10.7741","""2026-06-27T23:49:47.072904986Z""","1","6","""59.85_10.75"""
"""!e3ca0c97""","""gkGW""","""GurkaGW""","""CLIENT""","""RAK4631""","true","59.8999","10.6693","""2026-07-04T05:22:38.490174809Z""","50","3.12","""59.85_10.65"""
"""!1f6edac7""","""dac7""","""TBSE-Mobile""","""CLIENT_MUTE""","""TRACKER_T1000_E""","true","59.9307","10.7675","""2026-07-04T10:52:15.884837013Z""","719","6.97775","""59.90_10.75"""
"""!6a1ed941""","""WAM6""","""BÆRUM-EIKSMARKA-BASE-WAM6""","""CLIENT_BASE""","""RAK4631""","true","59.9523","10.6168","""2026-07-01T18:36:36.460961605Z""","4","3.5","""59.95_10.60"""
"""!54e40581""","""HN02""","""HORTEN-BAGGER0D-2""","""CLIENT_MUTE""","""T_ECHO""","true","59.4131","10.4682","""2026-06-28T03:43:30.967664603Z""","57","7","""59.40_10.45"""
"""!f66adc9c""","""""","""""","""ROUTER""","""""","true","60.4109","5.36125","""2026-07-04T10:02:01.623271364Z""","539","2.98145","""60.40_5.35"""
"""!f1bfbe6a""","""3kjs""","""b3kj solar""","""CLIENT""","""XIAO_NRF52_KIT""","false","0","0","""2026-06-27T21:54:50.293855912Z""","3","2",""""""
"""!9e4b0c28""","""SLST""","""(3470) Mobile Router""","""CLIENT_BASE""","""TRACKER_T1000_E""","false","0","0","""2026-07-04T08:31:35.929664509Z""","32","2.4375",""""""
"""!49637f26""","""Kort""","""Kort og godt""","""TRACKER""","""TRACKER_T1000_E""","true","59.8278","10.204","""2026-07-04T11:07:12.886123015Z""","5118","3.16295","""59.80_10.20"""
"""!416d2bbe""","""TBBT""","""Bazinga""","""CLIENT""","""T_ECHO""","true","60.0048","11.0887","""2026-07-04T10:37:45.814486633Z""","238","3.03361","""60.00_11.05"""
"""!e00ced64""","""HN""","""HORTEN-BAGGER0D-GW""","""CLIENT_BASE""","""HELTEC_V3""","true","59.4131","10.4682","""2026-07-04T11:12:30.483576303Z""","3844","3.00469","""59.40_10.45"""
"""!8584b814""","""b814""","""Hawk-N.M1""","""CLIENT_MUTE""","""THINKNODE_M1""","true","69.5534","19.1693","""2026-07-04T10:28:41.109293843Z""","689","2.98554","""69.55_19.15"""
"""!435823a0""","""THM1""","""TH - Mobile 1""","""CLIENT_MUTE""","""LILYGO_TBEAM_S3_CORE""","true","60.3718","5.21667","""2026-07-02T17:29:40.60829078Z""","640","4.98428","""60.35_5.20"""
"""!349fe479""","""""","""""","""CLIENT_MUTE""","""""","true","59.7295","9.42408","""2026-07-04T09:03:13.24536943Z""","2575","4.94098","""59.70_9.40"""
"""!e17c1baf""","""Vass""","""Vassfjellet, LA1K""","""ROUTER""","""SEEED_SOLAR_NODE""","true","63.2613","10.3574","""2026-07-04T10:33:27.528616452Z""","1103","2.97733","""63.25_10.35"""
"""!234365f3""","""Joa1""","""Joanna""","""CLIENT""","""SEEED_WIO_TRACKER_L1""","true","59.9523","10.7741","""2026-07-01T13:16:22.240783571Z""","12","5","""59.95_10.75"""
"""!d2e42fd3""","""""","""""","""CLIENT""","""""","true","60.4242","5.21667","""2026-07-04T11:01:47.63815516Z""","458","4","""60.40_5.20"""
"""!c08e7902""","""""","""""","""""","""""","false","0","0","""2026-07-03T21:34:25.323350959Z""","30","3.66667",""""""
"""!6bd1a805""","""""","""""","""""","""""","false","0","0","""2026-06-29T14:26:12.044543834Z""","2","3",""""""
"""!436ed177""","""""","""""","""""","""""","false","0","0","""2026-07-03T21:13:03.515774618Z""","4","4",""""""
"""!435a8c60""","""""","""""","""""","""""","true","60.4766","5.37395","""2026-06-30T19:27:00.016393601Z""","2","4","""60.45_5.35"""
"""!bfa97d12""","""GREF""","""OSL-GREFSENKOLLEN-ROUTER""","""ROUTER""","""RAK4631""","true","59.9654","10.8134","""2026-07-04T11:09:27.073522148Z""","2141","6.47871","""59.95_10.80"""
"""!5396197d""","""JB""","""JB_BlueR1 ""","""CLIENT_MUTE""","""MUZI_R1_NEO""","true","59.8999","10.7217","""2026-07-03T09:26:00.719039472Z""","122","7","""59.85_10.70"""
"""!3a1ea577""","""""","""""","""""","""""","false","0","0","""2026-07-03T17:24:20.817154116Z""","2","5",""""""
