source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit	request_id
!a1d75fc4	!a6da27e5	[1780406593,67150524,3215555858,1770251612,3148250271]	[48,-43,20,13,4]	[]	[]	1782559670	7	2	0
!a1d75fc4	!da752230	[1780406593,1130030704,2274067141]	[50,-6,-34]	[]	[]	1782559856	7	4	0
!a1d75fc4	!da752230	[1780406593,1130030704,2274067141,3148250271]	[50,-6,-34,-41]	[]	[]	1782559858	7	3	0
!b1610d41	!ae614244	[1548600466]	[55]	[]	[]	1782559959	7	7	0
!b1610d41	!ae614244	[1731139699,4134538928]	[28,47]	[]	[]	1782559960	7	6	0
!b1610d41	!ae614244	[1731139699,4134538928]	[28,47]	[]	[]	1782559960	7	6	0
!b1610d41	!ae614244	[1731139699,3904944005,70044471,1725113834]	[28,6,-40,-27]	[]	[]	1782559962	7	4	0
!b1610d41	!ae614244	[1731139699,3904944005,70044471,2323964937]	[28,6,-40,12]	[]	[]	1782559964	7	4	0
!b1610d41	!ae614244	[1731139699,3904944005,70044471,2323964937]	[28,6,-40,12]	[]	[]	1782559964	7	4	0
!a1d75fc4	!67f6fe46	[1780406593,67150524,3215555858,1692561267]	[51,-46,45,45]	[]	[]	1782560211	7	3	0
!a1d75fc4	!67f6fe46	[1780406593,67150524,3215555858,1692561267,501821116]	[51,-46,45,45,-37]	[]	[]	1782560211	7	2	0
!50734ef3	!4358e164	[1129746596,1770251612]	[1,48,19]	[436431638]	[13]	1782560344	4	3	0
!50734ef3	!4358e164	[1129746596,1770251612]	[1,48,19]	[436431638,501821116]	[13,-15]	1782560346	4	2	0
!50734ef3	!4358e164	[1129746596,1770251612]	[1,48,19]	[436431638,501821116]	[13,-15]	1782560346	4	2	0
!6985aa24	!a1d75fc4	[1780406593,67150524]	[48,-44,-38]	[3605086695,436431638]	[-38,-24]	1782560406	3	1	0
!6985aa24	!a1d75fc4	[1780406593,67150524]	[48,-44,-38]	[3605086695,436431638,501821116]	[-38,-24,-18]	1782560407	3	\N	0
!6985aa24	!a1d75fc4	[1780406593,67150524]	[48,-44,-38]	[3605086695,436431638,501821116]	[-38,-24,-18]	1782560407	3	\N	0
!6985aa24	!a1d75fc4	[1780406593,67150524]	[48,-44,-38]	[3605086695,436431638,501821116]	[-38,-24,-18]	1782560407	3	\N	0
!a1d75fc4	!db2ac884	[1780406593,1770251612]	[48,-33]	[]	[]	1782560570	7	5	0
!a1d75fc4	!db2ac884	[1780406593,1770251612,501821116]	[48,-33,-30]	[]	[]	1782560572	7	5	0
!db2ac884	!a1d75fc4	[1780406593,1770251612,1692561267]	[48,-33,37,-17]	[1692561267,501821116]	[-43,-38]	1782560583	4	2	0
!db2ac884	!a1d75fc4	[1780406593,1770251612,1692561267]	[48,-33,37,-17]	[1692561267]	[-43]	1782560604	4	3	0
