"id","short","long","role","hw","hasPos","lat","lon"
"!a1cf4b9c","BAL2","SNOWBALL2","CLIENT_BASE","TBEAM_1_WATT","false",0,0
"!10afe00e","PARK","CoePark","ROUTER","PORTDUINO","false",0,0
"!ce2bd51d","B@FT","BigMAC@Felton  MryMesh.net for info","","RAK4631","false",0,0
"!db51d9a4","","","CLIENT","","false",0,0
"!9e755c30","5c30","Pringles 5c30","CLIENT_BASE","HELTEC_V3","false",0,0
"!a78c1a2d","VTR1","VINEYARD TEST ROUTER 01","","RAK4631","false",0,0
"!8488a05c","HKG","Howdy KE6BEE Garage","","TBEAM","false",0,0
"!bd4faaac","poni","Princess Pi","","HELTEC_V3","false",0,0
"!69824a28","194D","Meshtastic 194D","CLIENT_MUTE","HELTEC_V4","false",0,0
"!33b845e7","S2E0","StewNasty/base","","SEEED_SOLAR_NODE","false",0,0
"!226268f9","Bear","Solar Bear Node ","","MUZI_BASE","false",0,0
"!ef7503a2","RI01","Scout","","THINKNODE_M1","false",0,0
"!ea341ab4","Luck","Meshtastic Luckys CV","","TLORA_V2_1_1P6","false",0,0
"!6984c64c","","","CLIENT_MUTE","","false",0,0
"!6c7439c0","39c0","Meshtastic 39c0","","TBEAM","false",0,0
"!40fdcba2","JP01","Jp76-1","CLIENT_MUTE","XIAO_NRF52_KIT","false",0,0
"!4ecf835c","n3","node3","","T_DECK","false",0,0
"!d82e0f3b","Melt","Stop the World and Mesh With You","","TRACKER_T1000_E","false",0,0
"!435b0fac","Rb02","Ribbit 02 | bayme.sh","CLIENT_MUTE","LILYGO_TBEAM_S3_CORE","false",0,0
"!4c261a21","GZ1","Ground Zero","","RAK4631","false",0,0
"!369cef6c","IVYS","Ivy Solar Node 🪴☀ | bayme.sh","CLIENT_BASE","RAK4631","false",0,0
"!62d9f94c","3ø4","304 Node Modified","CLIENT_BASE","TLORA_T3_S3","false",0,0
"!55c76f2c","🪵","🪵 Log","","TBEAM","false",0,0
"!6ee2f599","name","name","","HELTEC_V3","false",0,0
"!756f9724","","","CLIENT_BASE","","false",0,0
"!69826b54","WQ6P","WQ6P Cobalt","CLIENT_BASE","HELTEC_V4","false",0,0
"!ea24668c","MYR1","Enorym_668c","","TLORA_V2_1_1P6","false",0,0
"!b4ad0485","tdr","TdR","CLIENT_MUTE","RAK4631","false",0,0
"!c6d6814a","KLTN","Piedmont Avenue (alt) ✨ bayme.sh","CLIENT_BASE","RAK4631","false",0,0
"!fbea876c","WPDT","White Plains DownTown router ","ROUTER","SEEED_SOLAR_NODE","false",0,0
"!2ee0590","","","CLIENT","","false",0,0
"!8d7f8681","8681","Meshtastic 8681","CLIENT_MUTE","WISMESH_TAG","false",0,0
"!6c72f920","fn()","goP2P","","TBEAM","false",0,0
"!698266ec","div8","Sokket div8","","HELTEC_V4","false",0,0
"!2e5d97c","d97c","Meshtastic d97c","","HELTEC_V3","false",0,0
"!1ba2f4e4","DOGS","PocketDogs ","","HELTEC_V4","false",0,0
"!7ec7de24","🔴","redDOT LF [1b]","","HELTEC_V3","false",0,0
"!49b64160","","","CLIENT","","false",0,0
"!e77ab856","nEDH","N916-1W EDH","ROUTER","RAK3401","false",0,0
