source_node_id	hour	msgs
!1043523b	2026-06-28 03:00:00	1
!1043523b	2026-06-28 04:00:00	1
!1043523b	2026-06-30 09:00:00	1
!10623335	2026-06-27 23:00:00	3
!10623335	2026-06-28 02:00:00	2
!10623335	2026-06-28 04:00:00	4
!10623335	2026-06-28 06:00:00	5
!10623335	2026-06-28 08:00:00	5
!10623335	2026-06-28 09:00:00	4
!10623335	2026-06-28 13:00:00	10
!10623335	2026-06-28 15:00:00	4
!10623335	2026-06-28 17:00:00	6
!10623335	2026-06-28 19:00:00	4
!10623335	2026-06-28 20:00:00	5
!10623335	2026-06-28 21:00:00	4
!10623335	2026-06-28 22:00:00	5
!10623335	2026-06-29 02:00:00	4
!10623335	2026-06-29 04:00:00	4
!10623335	2026-06-29 05:00:00	5
!10623335	2026-06-29 07:00:00	4
!10623335	2026-06-29 09:00:00	6
!10623335	2026-06-29 11:00:00	4
!10623335	2026-06-29 13:00:00	5
!10623335	2026-06-29 14:00:00	5
!10623335	2026-06-30 00:00:00	3
!10623335	2026-06-30 02:00:00	2
!10623335	2026-06-30 03:00:00	4
!10623335	2026-06-30 05:00:00	2
!10623335	2026-06-30 06:00:00	5
!10623335	2026-06-30 08:00:00	3
!10623335	2026-06-30 09:00:00	3
!10623335	2026-06-30 10:00:00	2
!10623335	2026-06-30 12:00:00	2
!10623335	2026-06-30 13:00:00	2
!10623335	2026-06-30 15:00:00	4
!10623335	2026-06-30 18:00:00	3
!10623335	2026-06-30 19:00:00	9
!10623335	2026-06-30 21:00:00	4
!10623335	2026-06-30 22:00:00	5
!10623335	2026-07-01 00:00:00	9
!10623335	2026-07-01 02:00:00	5
!10623335	2026-07-01 03:00:00	4
!10623335	2026-07-01 04:00:00	4
!10623335	2026-07-01 06:00:00	6
!10623335	2026-07-01 07:00:00	4
!10623335	2026-07-01 09:00:00	10
!10623335	2026-07-01 10:00:00	3
!10623335	2026-07-01 11:00:00	3
!10623335	2026-07-01 14:00:00	3
!10623335	2026-07-01 15:00:00	3
!10623335	2026-07-01 16:00:00	4
!10623335	2026-07-01 18:00:00	6
!10623335	2026-07-01 20:00:00	4
!10623335	2026-07-01 21:00:00	6
!10623335	2026-07-01 23:00:00	4
!10623335	2026-07-02 00:00:00	4
!10623335	2026-07-02 01:00:00	3
!10623335	2026-07-02 03:00:00	7
!10623335	2026-07-02 05:00:00	4
!10623335	2026-07-02 06:00:00	3
!10623335	2026-07-02 08:00:00	3
!10623335	2026-07-02 09:00:00	3
!10623335	2026-07-02 10:00:00	4
!10623335	2026-07-02 14:00:00	4
!10623335	2026-07-02 15:00:00	6
