"id","short","long","role","hw","hasPos","lat","lon"
"!4058d2c","8d2c","Meshtastic 8d2c","CLIENT","HELTEC_V3","false",0,0
"!69858260","8260","Heltec AIO Touch 8260","CLIENT_BASE","HELTEC_V4","false",0,0
"!6c72f7d4","PB1","K1EDZ Base Node","CLIENT","TBEAM","false",0,0
"!5a4cead","AES","KG1AES LowMesh","CLIENT","RAK4631","false",0,0
"!e243e69","3e69","netskillz_rover","CLIENT","RAK4631","false",0,0
"!1ba677b0","4SFR","WD4SFR_Port","CLIENT","HELTEC_V4","false",0,0
"!befce703","DD01","KN4YDL-1","CLIENT","T_ECHO","false",0,0
"!99baac44","SFR1","WD4SFR_rov1","CLIENT","T_DECK","false",0,0
"!ca166aa0","6AA0","DA6AA0","CLIENT","T_ECHO","false",0,0
"!43b5a0d8","HV3M","HeltecV3Mobile","CLIENT","HELTEC_V3","false",0,0
"!662b5918","AS1W","WV4AS-1W","CLIENT","RAK4631","false",0,0
"!e2c7a5d","7a5d","Meshtastic 7a5d","CLIENT","NRF52_UNKNOWN","false",0,0
"!87a6060","6060","Meshtastic 6060","CLIENT","RAK11200","false",0,0
"!2fd9d717","D1BS","DA1BSN","CLIENT_MUTE","RAK4631","false",0,0
"!a5733a6c","GLAS","Glaser Solar","CLIENT_BASE","RAK4631","false",0,0
"!d11a4fb","DOE2","K3DO Echo-2","CLIENT","T_ECHO","false",0,0
"!67fecef5","79UC","david79-uconsole","CLIENT","PORTDUINO","false",0,0
"!16cfa17c","SMT4","EARC-G2-Tower","ROUTER","STATION_G2","false",0,0
"!b56336d5","PMT1","PeakMesh1","CLIENT","TRACKER_T1000_E","false",0,0
"!16cec9ac","c9ac","netskillz_relay","CLIENT_BASE","STATION_G2","false",0,0
"!49b54b0c","XGEN","73797374726F6E78","CLIENT_MUTE","HELTEC_V3","false",0,0
"!16ced214","TRON","JUP G2","ROUTER","STATION_G2","false",0,0
"!a634b9ce","🍻","Sandbar Sports Grill Cutler Bay ","CLIENT","RAK4631","false",0,0
"!9e3e08bc","Lana","Lana Zebra Duo","CLIENT_BASE","PORTDUINO","false",0,0
"!ba0604f4","FRNT","HOMEBASE","CLIENT_HIDDEN","SENSECAP_INDICATOR","false",0,0
"!1c49618c","SHDW","Meshtastic SHDW","CLIENT","TBEAM","false",0,0
"!9e9f30a8","30a8","Meshtastic 30a8","CLIENT","HELTEC_V3","false",0,0
"!ee1c4eed","4eed","JDHPB 4eed","CLIENT","RAK4631","false",0,0
"!30327644","B","B","CLIENT_MUTE","HELTEC_V3","false",0,0
"!9e7565bc","65bc","DuMeshy65bc","CLIENT","HELTEC_V3","false",0,0
"!6984f974","🚀","SKY-2","CLIENT","HELTEC_V4","false",0,0
"!a20a0ea8","TRON","STUART G2","ROUTER","STATION_G2","false",0,0
"!1ba34778","4wpi","KI4WPI-Heltec v4","CLIENT","HELTEC_V4","false",0,0
"!45d7ccb6","MMR","Mitch Mobile Ranger","CLIENT","RAK4631","false",0,0
"!62424879","4879","beanie weenie 4879","CLIENT","MUZI_R1_NEO","false",0,0
"!b07b309b","🦇","Fishbone BAT","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!7dfd123b","1874","Mesh 1874 B1","CLIENT_BASE","RAK4631","false",0,0
"!3d6a4223","T114","T114-Mobile","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!e642e3bd","MFBs","MoulierFam Base","CLIENT_BASE","RAK4631","false",0,0
"!a85c2ba5","4GJB","KE4GJB","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!7c5ab854","OOB","KQ4OOB - Ø","CLIENT_HIDDEN","HELTEC_V3","false",0,0
"!49b710ac","LA","NF6P Shack","CLIENT","HELTEC_V4","false",0,0
"!a35baa40","","","CLIENT","","false",0,0
"!b03e0244","0244","CartoMesh","CLIENT","HELTEC_V3","false",0,0
"!49b5eba4","ksv4","KQ4UJQ BASE V4","CLIENT_BASE","HELTEC_V4","false",0,0
"!fa6c5cd8","KWP1","K3DO Wireless Paper 1","CLIENT_MUTE","HELTEC_WIRELESS_PAPER","false",0,0
"!69828594","BOOM","Boomtastic 8594 📡","CLIENT","HELTEC_V4","false",0,0
