source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!a038f714	!16cd8044	[2688087652,2687838236,2718568104,382653096]	[-42,-14,43,-6]	[]	[]	1782598266	7	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697924]	[39,-15]	1782598269	6	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697796,2687838236,2718568104]	[39,5,12,38]	1782598272	6	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697796,2687838236,2718568104,382653096]	[39,5,12,38,-7]	1782598272	6	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697796,2687838236,382652948,49075680]	[39,5,12,21,-21]	1782598272	6	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697796,2687838236,2718568104,2188807351,2076088698]	[39,5,12,38,-28,-23]	1782598273	6	\N
!f66f9608	!160b71c0	[331388561,1130060780,3889187572]	[26,-66,-60,-64]	[67626796]	[26]	1782598297	4	\N
!16cd8044	!a038f714	[2688087652,2687838236,2732697940,2732697796]	[-42,-14,-32,33,4]	[2733351748,2732697940]	[39,19]	1782598297	6	\N
!b29fa9c4	!16ced1f8	[2732695560,2732697796,2996810056]	[28,24,-19]	[]	[]	1782598315	7	\N
!b29fa9c4	!16ced1f8	[2732695560,2733351748,2718568104]	[28,17,14]	[]	[]	1782598315	7	\N
!b29fa9c4	!16ced1f8	[2732695560,2733351748,2718568104,382653096]	[28,17,14,-6]	[]	[]	1782598316	7	\N
!b29fa9c4	!16ced1f8	[2732695560,2733351748,2718568104,382652948,49075680]	[28,17,14,-3,-2]	[]	[]	1782598316	7	\N
!b29fa9c4	!16ced1f8	[2732695560,2733351748,2718568104,2188807351,2076088698]	[28,17,14,-21,-35]	[]	[]	1782598319	7	\N
!16ced1f8	!b29fa9c4	[2732695560,2732697796,2996810056]	[28,24,-19,-2]	[2732697924]	[24]	1782598323	5	\N
!16ced1f8	!b29fa9c4	[2732695560,2732697796,2996810056]	[28,24,-19,-2]	[2996810056,2732697796,2687838236,2718568104]	[25,-48,-27,35]	1782598324	5	\N
!16ced1f8	!b29fa9c4	[2732695560,2732697796,2996810056]	[28,24,-19,-2]	[2996810056,2732697796,2687838236,2718568104,382653096]	[25,-48,-27,35,-5]	1782598324	5	\N
!16ced1f8	!b29fa9c4	[2732695560,2732697796,2996810056]	[28,24,-19,-2]	[2996810056,2732697796,2687838236,2718568104,3941254452,2076088698]	[25,-48,-27,35,-24,22]	1782598325	5	\N
!16cec9ac	!303274c0	[1128152892,4267366600]	[-54,-78]	[]	[]	1782598399	3	\N
!49b54770	!57d6da9d	[1770150468,2076088698]	[42,-53]	[]	[]	1782598451	7	\N
!b29fa9c4	!648e413e	[2732695560,2732697924]	[-4,-9]	[]	[]	1782598491	7	\N
!b29fa9c4	!648e413e	[2732695560,2733351748,2718568104]	[-4,11,-14]	[]	[]	1782598491	7	\N
!b29fa9c4	!648e413e	[2732695560,2733351748,2718568104,382653096]	[-4,11,-14,-9]	[]	[]	1782598491	7	\N
!b29fa9c4	!648e413e	[2732695560,2733351748,2718568104,382652948,49075680]	[-4,11,-14,-13,6]	[]	[]	1782598492	7	\N
!16ced2a8	!4b3aa0cf	[2718568104]	[-36]	[]	[]	1782598510	7	\N
!16ced2a8	!4b3aa0cf	[2718568104,382652948,49075680]	[-36,-13,13]	[]	[]	1782598511	7	\N
!4b3aa0cf	!16ced2a8	[2718568104]	[-36,43]	[2718568104]	[26,-8]	1782598511	3	\N
!f9eea1c6	!408e7e0	[]	[27]	[]	[]	1782598567	2	\N
!b29fa9c4	!8b12c1e8	[2732695560,2732697924]	[33,-21]	[]	[]	1782598672	7	\N
!b29fa9c4	!8b12c1e8	[2732695560,2733351748,2718568104]	[33,33,14]	[]	[]	1782598673	7	\N
!b29fa9c4	!8b12c1e8	[2732695560,2733351748,2718568104,382653096]	[33,33,14,-5]	[]	[]	1782598673	7	\N
