source_node_id	hour	msgs
!10712190	2026-07-02 07:00:00	20
!10712190	2026-07-02 08:00:00	8
!10712190	2026-07-02 09:00:00	1
!10b64d03	2026-06-30 10:00:00	2
!10c6bbb9	2026-06-27 23:00:00	7
!10c6bbb9	2026-06-28 00:00:00	8
!10c6bbb9	2026-06-28 02:00:00	2
!10c6bbb9	2026-06-28 04:00:00	2
!10c6bbb9	2026-06-28 05:00:00	5
!10c6bbb9	2026-06-28 06:00:00	7
!10c6bbb9	2026-06-28 07:00:00	2
!10c6bbb9	2026-06-28 09:00:00	3
!10c6bbb9	2026-06-28 10:00:00	2
!10c6bbb9	2026-06-28 11:00:00	4
!10c6bbb9	2026-06-28 12:00:00	2
!10c6bbb9	2026-06-28 13:00:00	1
!10c6bbb9	2026-06-28 14:00:00	4
!10c6bbb9	2026-06-28 15:00:00	9
!10c6bbb9	2026-06-28 16:00:00	1
!10c6bbb9	2026-06-28 17:00:00	5
!10c6bbb9	2026-06-28 20:00:00	2
!10c6bbb9	2026-06-28 21:00:00	2
!10c6bbb9	2026-06-28 22:00:00	4
!10c6bbb9	2026-06-28 23:00:00	9
!10c6bbb9	2026-06-29 00:00:00	2
!10c6bbb9	2026-06-29 01:00:00	5
!10c6bbb9	2026-06-29 02:00:00	6
!10c6bbb9	2026-06-29 04:00:00	4
!10c6bbb9	2026-06-29 05:00:00	2
!10c6bbb9	2026-06-29 06:00:00	3
!10c6bbb9	2026-06-29 07:00:00	4
!10c6bbb9	2026-06-29 08:00:00	8
!10c6bbb9	2026-06-29 09:00:00	2
!10c6bbb9	2026-06-29 10:00:00	5
!10c6bbb9	2026-06-29 11:00:00	2
!10c6bbb9	2026-06-29 12:00:00	4
!10c6bbb9	2026-06-29 13:00:00	4
!10c6bbb9	2026-06-29 14:00:00	4
!10c6bbb9	2026-06-29 15:00:00	2
!10c6bbb9	2026-06-29 16:00:00	2
!10c6bbb9	2026-06-29 17:00:00	4
!10c6bbb9	2026-06-29 19:00:00	3
!10c6bbb9	2026-06-29 20:00:00	4
!10c6bbb9	2026-06-29 21:00:00	2
!10c6bbb9	2026-06-29 23:00:00	8
!10c6bbb9	2026-06-30 00:00:00	6
!10c6bbb9	2026-06-30 02:00:00	4
