"id","short","long","role","hw","hasPos","lat","lon"
"!d657111a","111a","Meshtastic 111a","CLIENT_BASE","RAK4631","false",0,0
"!3c9e28b3","","","CLIENT_MUTE","","false",0,0
"!33691bac","","","CLIENT","","false",0,0
"!43569070","17","B2-17","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!acaa9018","HUNT","Hunt-----🗡️","CLIENT","HELTEC_V3","false",0,0
"!b6fe9a1b","🌤","Solar Node Knappenberg","CLIENT","RAK4631","false",0,0
"!3c224ccf","NOD2","NODO 2 FERMO MARCHE SGIE ","CLIENT_BASE","M5STACK_RESERVED","false",0,0
"!438f83c","","","CLIENT","","false",0,0
"!336a83c4","ThFr","TheFrog 🐸 Ladispoli (Rm) ","CLIENT","HELTEC_WSL_V3","false",0,0
"!2eb77c8","","","ROUTER","","false",0,0
"!1ba26940","6940","Meshtastic Riposto","CLIENT_BASE","HELTEC_V4","false",0,0
"!9eeb1f1c","P300","ReteRadioPrepper300 - prepperitalia.com","CLIENT_BASE","HELTEC_V3","false",0,0
"!aca3e98","MAST","MastAtti","CLIENT_BASE","HELTEC_V4","false",0,0
"!db2b35d8","","","CLIENT","","false",0,0
"!ce4d4fd6","GNNR","Gennaro","ROUTER","NRF52_PROMICRO_DIY","false",0,0
"!40845c8","DGH","Colline Brianzole","CLIENT","HELTEC_V3","false",0,0
"!43a01d0","Ubx2","Ubaldux2","CLIENT","HELTEC_V3","false",0,0
"!849b8b68","","","CLIENT","","false",0,0
"!f6f74914","","","CLIENT_BASE","","false",0,0
"!9e763cbc","grn1","Gerano 🏞️ Centro Storico","CLIENT","HELTEC_V3","false",0,0
"!feaaa96c","Um54","SOS Italia Castelluccio","ROUTER","SEEED_SOLAR_NODE","false",0,0
"!b2a7e5b4","tcar","testcar","CLIENT_BASE","HELTEC_V4","false",0,0
"!da9e9358","","","CLIENT","","false",0,0
"!3ffadb37","D_37","Delta_db37📐","CLIENT_BASE","XIAO_NRF52_KIT","false",0,0
"!49b58378","","","CLIENT","","false",0,0
"!98da5c1b","VE51","SOS Italia Veneto 51","TRACKER","TRACKER_T1000_E","false",0,0
"!aca9eaa8","BIT2","Bitritto-02/🧑‍🦲Antonio","CLIENT","HELTEC_V3","false",0,0
"!2dd12909","2909","Meshtastic 2909","ROUTER","SEEED_WIO_TRACKER_L1","false",0,0
"!2e60364","0364","Meshtastic 0364","CLIENT","HELTEC_V3","false",0,0
"!49b76a70","","","CLIENT","","false",0,0
"!b948fb1c","","","CLIENT","","false",0,0
"!2ffe2edf","Um52","SOS Italia Pale","ROUTER_LATE","SEEED_SOLAR_NODE","false",0,0
"!d45b9428","","","CLIENT","","false",0,0
"!3edd99af","afa1","Meshtastic afa1","CLIENT","RAK4631","false",0,0
"!db2b2720","CR99","CREM🌏","CLIENT","HELTEC_V3","false",0,0
"!d6d91b35","Sdo7","Sdo7_1b35","CLIENT_BASE","XIAO_NRF52_KIT","false",0,0
"!fc338672","","","CLIENT_BASE","","false",0,0
"!5cb003bb","","","CLIENT","","false",0,0
"!2afa84b8","","","CLIENT","","false",0,0
"!6781f1c9","Sf","Sensecap f1c9","TRACKER","TRACKER_T1000_E","false",0,0
"!5924bdc8","","","CLIENT","","false",0,0
"!6c742b18","","","CLIENT","","false",0,0
"!db51bc20","Ettr","IW3RBX ","CLIENT","HELTEC_V3","false",0,0
"!f1b96cc8","TDek","Mauro Mobile","CLIENT","T_DECK","false",0,0
"!9ea1c36c","","","CLIENT_BASE","","false",0,0
"!c9999d38","😸","HappyCat","CLIENT","HELTEC_V2_1","false",0,0
"!98a00558","c989","čispr_989","CLIENT","RAK4631","false",0,0
"!6984c9e8","","","CLIENT","","false",0,0
"!a6963bb4","","","CLIENT","","false",0,0
"!4ec31c50","","","CLIENT_MUTE","","false",0,0
"!db295658","","","CLIENT","","false",0,0
"!f0444658","TOS3","TOS003","CLIENT","THINKNODE_M1","false",0,0
"!9e76b518","","","CLIENT_MUTE","","false",0,0
"!849b7790","biop","Biplop79","CLIENT","HELTEC_V3","false",0,0
"!2edc924","","","CLIENT_MUTE","","false",0,0
"!ea8fdf94","lou4","LOU","CLIENT","SEEED_XIAO_S3","false",0,0
"!a25f01f5","MXT5","Consocio","CLIENT","RAK4631","false",0,0
"!6c18f2fa","","","CLIENT","","false",0,0
"!a1d8480c","","","SENSOR","","false",0,0
"!a4bb1953","CR4","Cremona🗼1953","CLIENT_BASE","RAK4631","false",0,0
"!e9f0078b","","","CLIENT","","false",0,0
"!db2965ac","","","CLIENT","","false",0,0
"!49a20bfe","","","CLIENT","","false",0,0
"!498f65c4","","","CLIENT","","false",0,0
"!6984a638","T119","TOS119 Vecchiano (PI)","CLIENT_BASE","HELTEC_V4","false",0,0
"!8ba23a6d","","","ROUTER_LATE","","false",0,0
"!2edfa68","GNZ1","Genzano1 Mesh","CLIENT","HELTEC_V3","false",0,0
"!9e7564f4","AP3","AP3 64f4🏠","ROUTER","HELTEC_V3","false",0,0
"!44a7cec4","GATE","🛸 Stargate 🛸","ROUTER","RAK4631","false",0,0
"!f693bcb8","","","CLIENT","","false",0,0
"!2ecf04c","","","CLIENT_MUTE","","false",0,0
"!9ee98f10","","","CLIENT","","false",0,0
"!d95351bb","G51b","IU8TQP_smcv_G51b","CLIENT","RAK4631","false",0,0
"!57482bb0","MTE","Mannaggia TEcho","CLIENT","T_ECHO","false",0,0
"!ba620030","0030","Meshtastic 0030","CLIENT","HELTEC_V3","false",0,0
"!699be10c","e10c","Meshtastic e10c","CLIENT","HELTEC_V4","false",0,0
"!69825948","OFGn","OFG-NODO","CLIENT_BASE","HELTEC_V4","false",0,0
"!9ef0c3e4","","","CLIENT","","false",0,0
"!16e83e09","06b9","Meshtastic 06b9","CLIENT","RAK11200","false",0,0
"!80018e6a","TCNP","RM-TCNPL-HUB-02","ROUTER","RAK4631","false",0,0
"!a6964ec8","","","CLIENT","","false",0,0
"!2eb96d0","NRS","Nenad_NRS","CLIENT_BASE","HELTEC_V3","false",0,0
"!9ee77300","TVN","TV Nord 7300","CLIENT","HELTEC_V3","false",0,0
"!43c231c","231c","Meshtastic 231c","CLIENT","HELTEC_V3","false",0,0
"!f98d5ae4","","","CLIENT","","false",0,0
"!72fc9e7d","MiiS","IZ0MII tracker 2","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!88c3ee4","","","CLIENT","","false",0,0
"!88c3e9c","","","CLIENT","","false",0,0
"!2e67694","CMG2","IU7CMG MOBILE","CLIENT","HELTEC_V3","false",0,0
"!db2b2e48","","","CLIENT","","false",0,0
"!2ed51ec","51ec","Meshtastic 51ec","CLIENT","HELTEC_V3","false",0,0
"!622fdfab","Xiao","IW1ESU Xiao","CLIENT","XIAO_NRF52_KIT","false",0,0
"!38f63eb6","AQ40","AQ40_IK6DEN_RPT_monte ocre","ROUTER","XIAO_NRF52_KIT","false",0,0
"!db29e28c","","","CLIENT_MUTE","","false",0,0
"!22bafa1f","","","CLIENT_MUTE","","false",0,0
"!da56ac5c","","","CLIENT_MUTE","","false",0,0
"!4f55138a","c824","Meshtastic c824","CLIENT","HELTEC_V4","false",0,0
"!f6fbf19c","YODA","YODA_RRP120📟","CLIENT_MUTE","HELTEC_V3","false",0,0
"!849a60a0","","","CLIENT","","false",0,0
"!ec2a6a64","","","CLIENT","","false",0,0
"!acb5628","","","CLIENT","","false",0,0
"!f68f4d74","4d74","Meshtastic 4d74","CLIENT","THINKNODE_M5","false",0,0
"!7502e062","","","CLIENT","","false",0,0
"!edbc41c9","PU10","PU10 Cesane di Urbino","CLIENT","NRF52_PROMICRO_DIY","false",0,0
"!6dd7ed08","BUD","Bud Spencer 🍌Giò","CLIENT_MUTE","HELTEC_MESH_POCKET","false",0,0
"!b2a74cf8","AZ02","ponderano02","CLIENT_BASE","HELTEC_V4","false",0,0
"!2ee0578","SA00","Salerno00","CLIENT","HELTEC_V3","false",0,0
"!407f37c","casa","Meshtastic casa","CLIENT_BASE","HELTEC_V3","false",0,0
"!2ecc148","","","CLIENT","","false",0,0
"!2d717f2c","BS01","Boga26 Solar01 ","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!acb06a0","","","CLIENT","","false",0,0
"!b2a78cc8","","","CLIENT_BASE","","false",0,0
"!2e86340","","","CLIENT","","false",0,0
"!ed2c667e","mb02","🏔️T1000-E🏔️","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!a8efc940","CRY2","CURIOSITY RRP002","CLIENT","HELTEC_MESH_NODE_T114","false",0,0
"!386f082e","P.S.","BTS LoRa Mantova🇮🇹📡","CLIENT","PORTDUINO","false",0,0
"!a1cbefb0","","","CLIENT","","false",0,0
"!6984d4f8","d4f8","Meshtastic d4f8","CLIENT","HELTEC_V4","false",0,0
"!9e762244","TmkH","Tomark Home (IU8UUV)","CLIENT","HELTEC_V3","false",0,0
"!d4ae3fe9","","","CLIENT_BASE","","false",0,0
"!6983bcc0","","","CLIENT","","false",0,0
"!7d470785","AQ21","AQ21_IK6DEN_PORTABLE","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!4085068","Luk2","Luk2_5068","CLIENT_BASE","HELTEC_V3","false",0,0
"!1704eacc","","","CLIENT_BASE","","false",0,0
"!f19625a6","25a6","Meshtastic 25a6","ROUTER","NRF52_PROMICRO_DIY","false",0,0
"!8fa02a98","","","CLIENT","","false",0,0
"!435b0bcc","LPB1","BRUNO_1_MALO","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!8ad0bf8","PMVC","Pra Martino 🌲 Val Chisone","CLIENT","TLORA_V2_1_1P6","false",0,0
"!9e9d5298","5298","Diego-base","CLIENT","HELTEC_V3","false",0,0
"!2eb18f8","8ESP"," IZ8ESP  🚙","CLIENT","HELTEC_WIRELESS_TRACKER","false",0,0
"!b2a7eb18","","","CLIENT","","false",0,0
"!bb203142","🔆","BRB-868-SOLAR","CLIENT","HELTEC_MESH_NODE_T114","false",0,0
"!6f64fdb1","","","CLIENT","","false",0,0
"!c0ed2306","NTes","Nicco_Test_V2 🇮🇹","CLIENT_BASE","HELTEC_MESH_NODE_T114","false",0,0
"!bba8394c","394c","IU3KGB 394c","CLIENT","TBEAM","false",0,0
"!d55cb164","Wst","Whiskey_Solar_Test","CLIENT","RAK4631","false",0,0
"!433c13a4","Fx01","Fasax1284-Tracker1","CLIENT","HELTEC_WIRELESS_TRACKER","false",0,0
"!43a84ac","","","CLIENT","","false",0,0
"!ee8f56ec","","","CLIENT","","false",0,0
"!41c08b59","","","ROUTER","","false",0,0
"!aca96d68","aeon","aeon_6d68","CLIENT","HELTEC_V3","false",0,0
"!406b414","WJD","IZ2WJD /P","CLIENT","HELTEC_V3","false",0,0
"!336924c4","GIU!","Giul  🌳🏠🌲","CLIENT_BASE","HELTEC_WSL_V3","false",0,0
"!58adee53","8173","gw_capua_8173","CLIENT","RAK4631","false",0,0
"!4059944","","","CLIENT_MUTE","","false",0,0
"!2eafcac","","","CLIENT_BASE","","false",0,0
"!db51cb54","👾","Space Invaders","CLIENT","HELTEC_V3","false",0,0
"!a5284057","TCNP","RM-TCNPL-HUB-00 ","ROUTER","RAK4631","false",0,0
"!c9f91c9c","La51","SOS Italia - Roma Brava (RM)","CLIENT_BASE","RAK4631","false",0,0
"!8fa673c8","db","IK5XMK","CLIENT","HELTEC_V4","false",0,0
"!c40047f6","","","CLIENT","","false",0,0
"!2520722c","","","CLIENT","","false",0,0
