source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!110c9cd3	!9ea2a86c	[]	[-3,-13,-9]	[]	[-2,1,-6]	1782598249	4	\N
!110c9cd3	!9ea2a86c	[]	[-3,-13,-9]	[]	[-10,-14]	1782598250	4	\N
!110c9cd3	!9ea2a86c	[]	[-3,-13,-9]	[]	[-2,1,-6]	1782598299	4	\N
!110c9cd3	!9ea2a86c	[]	[-3,-13,-9]	[]	[-2,1,-6]	1782598350	4	\N
!110c9cd3	!9ea2a86c	[]	[-3,-13,-9]	[]	[-2,1,-6]	1782598400	4	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-6]	1782598567	6	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-4,-9]	1782598569	6	\N
!699c4c0c	!2073dc67	[]	[-12,-9,11,-6]	[]	[-3,-10]	1782598593	3	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-6]	1782598615	6	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-4,-9]	1782598619	6	\N
!699c4c0c	!2073dc67	[]	[-12,-9,11,-6]	[]	[-3,-10]	1782598643	3	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-6]	1782598657	6	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-4,-9]	1782598668	6	\N
!699c4c0c	!2073dc67	[]	[-12,-9,11,-6]	[]	[-3,-10]	1782598689	3	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-6]	1782598707	6	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-4,-9]	1782598713	6	\N
!4b55b80f	!f7112818	[]	[0,-8,-10,-8,-9,-4,-9]	[]	[-10,3,-12,-6]	1782598755	6	\N
!1e56c6f7	!f669db50	[]	[5]	[]	[-2,2]	1782600378	2	\N
!9e77f838	!2073dc67	[]	[-3,-9]	[]	[-10,0,10,-5]	1782600412	3	\N
!1e56c6f7	!f669db50	[]	[5]	[]	[-2,2]	1782600429	2	\N
!1ba5f92c	!2073dc67	[]	[-13,-10,2]	[]	[-8,-13]	1782600450	3	\N
!1e56c6f7	!f669db50	[]	[5]	[]	[-2,2]	1782600474	2	\N
!58adee53	!6983e084	[]	[0,-8,-9]	[]	[-8,-9]	1782601202	3	\N
!9e77f838	!1ba5f92c	[]	[-10,-1,5]	[]	[-6,-9]	1782601208	4	\N
!58adee53	!6983e084	[]	[0,-8,-9]	[]	[-8,-9]	1782601253	3	\N
!58adee53	!6983e084	[]	[0,-8,-9]	[]	[-8,-9]	1782601298	3	\N
!849b8cc4	!91e8f41b	[]	[-9,10]	[]	[10,-9,8,-3]	1782601535	3	\N
!b03cc57c	!9e9e1cbc	[]	[0,8,6,5]	[]	[-2,-1,10,-6,5,-7,-13]	1782601608	5	\N
!b03cc57c	!9e9e1cbc	[]	[0,8,6,5]	[]	[-2,-1,10,-6,5,-7,-13]	1782601660	5	\N
