source_node_id	hour	msgs
!100663b0	2026-06-30 14:00:00	1
!100663b0	2026-06-30 21:00:00	1
!100663b0	2026-07-01 02:00:00	1
!100663b0	2026-07-01 04:00:00	1
!100663b0	2026-07-01 06:00:00	1
!100663b0	2026-07-01 08:00:00	1
!100663b0	2026-07-01 10:00:00	1
!100663b0	2026-07-01 12:00:00	1
!100663b0	2026-07-01 18:00:00	1
!100663b0	2026-07-01 19:00:00	1
!100663b0	2026-07-02 02:00:00	1
!100663b0	2026-07-02 06:00:00	2
!100663b0	2026-07-02 08:00:00	1
!100663b0	2026-07-02 09:00:00	2
!100663b0	2026-07-02 10:00:00	1
!100663b0	2026-07-02 15:00:00	1
!100663b0	2026-07-02 20:00:00	1
!100663b0	2026-07-02 22:00:00	1
!100663b0	2026-07-03 05:00:00	1
!100663b0	2026-07-03 06:00:00	1
!100663b0	2026-07-03 09:00:00	1
!100663b0	2026-07-03 12:00:00	1
!100663b0	2026-07-03 17:00:00	1
!100663b0	2026-07-03 18:00:00	1
!100663b0	2026-07-03 19:00:00	2
!100663b0	2026-07-03 20:00:00	2
!100663b0	2026-07-04 03:00:00	1
!100663b0	2026-07-04 06:00:00	1
!100663b0	2026-07-04 10:00:00	1
!100663b0	2026-07-04 14:00:00	1
!100663b0	2026-07-04 17:00:00	1
!100663b0	2026-07-04 18:00:00	1
!100663b0	2026-07-04 19:00:00	1
!10076675	2026-06-30 13:00:00	3
!10076675	2026-06-30 18:00:00	1
!10076675	2026-06-30 21:00:00	1
!10076675	2026-07-01 06:00:00	1
!10076675	2026-07-01 07:00:00	1
!10076675	2026-07-01 08:00:00	2
!10076675	2026-07-01 22:00:00	1
!10076675	2026-07-02 06:00:00	1
!10076675	2026-07-02 09:00:00	1
!10076675	2026-07-02 14:00:00	2
!10076675	2026-07-02 18:00:00	1
!10076675	2026-07-03 06:00:00	3
!10076675	2026-07-03 17:00:00	1
!10076675	2026-07-03 18:00:00	2
!10076675	2026-07-03 20:00:00	1
!10076675	2026-07-04 06:00:00	1
!10076675	2026-07-04 07:00:00	2
!10076675	2026-07-04 08:00:00	1
!10076675	2026-07-04 14:00:00	1
!10076675	2026-07-04 18:00:00	1
!10576704	2026-07-01 06:00:00	1
!10576704	2026-07-01 20:00:00	1
!10576704	2026-07-01 21:00:00	1
!10576704	2026-07-01 22:00:00	1
!10931038	2026-06-30 14:00:00	1
!10931038	2026-06-30 23:00:00	1
!10931038	2026-07-01 02:00:00	1
!10931038	2026-07-01 05:00:00	1
!10931038	2026-07-01 14:00:00	1
!111f13e6	2026-06-30 12:00:00	1
!111f13e6	2026-07-01 09:00:00	1
!111f13e6	2026-07-01 17:00:00	1
!111f13e6	2026-07-01 21:00:00	2
!111f13e6	2026-07-02 06:00:00	1
!111f13e6	2026-07-02 07:00:00	1
!111f13e6	2026-07-02 08:00:00	1
!111f13e6	2026-07-02 13:00:00	1
!111f13e6	2026-07-02 21:00:00	2
!111f13e6	2026-07-03 05:00:00	1
!111f13e6	2026-07-03 13:00:00	2
!111f13e6	2026-07-04 10:00:00	5
!111f13e6	2026-07-04 12:00:00	1
!111f13e6	2026-07-04 17:00:00	2
!112bbb6d	2026-06-30 13:00:00	1
!112bbb6d	2026-06-30 14:00:00	1
!112bbb6d	2026-06-30 17:00:00	1
!112bbb6d	2026-06-30 18:00:00	2
!112bbb6d	2026-06-30 19:00:00	4
!112bbb6d	2026-06-30 20:00:00	8
!112bbb6d	2026-06-30 21:00:00	1
!112bbb6d	2026-06-30 22:00:00	2
!112bbb6d	2026-06-30 23:00:00	3
!112bbb6d	2026-07-01 05:00:00	2
!112bbb6d	2026-07-01 07:00:00	1
!112bbb6d	2026-07-01 08:00:00	4
!112bbb6d	2026-07-01 09:00:00	6
!112bbb6d	2026-07-01 10:00:00	2
!112bbb6d	2026-07-01 15:00:00	1
!112bbb6d	2026-07-01 16:00:00	1
!112bbb6d	2026-07-01 21:00:00	2
!112bbb6d	2026-07-01 22:00:00	1
!112bbb6d	2026-07-02 07:00:00	1
!112bbb6d	2026-07-02 09:00:00	1
!112bbb6d	2026-07-02 13:00:00	2
!112bbb6d	2026-07-02 15:00:00	1
!112bbb6d	2026-07-03 04:00:00	1
!112bbb6d	2026-07-03 09:00:00	1
!112bbb6d	2026-07-03 11:00:00	3
!112bbb6d	2026-07-03 12:00:00	1
!112bbb6d	2026-07-03 15:00:00	1
!112bbb6d	2026-07-03 18:00:00	4
!112bbb6d	2026-07-03 19:00:00	3
!112bbb6d	2026-07-03 20:00:00	6
!112bbb6d	2026-07-03 21:00:00	2
!112bbb6d	2026-07-03 22:00:00	16
!112bbb6d	2026-07-03 23:00:00	4
!112bbb6d	2026-07-04 06:00:00	1
!112bbb6d	2026-07-04 11:00:00	1
!112bbb6d	2026-07-04 21:00:00	1
!1151e727	2026-06-30 16:00:00	3
!116adb6b	2026-06-30 10:00:00	1
!116adb6b	2026-06-30 13:00:00	1
!116adb6b	2026-06-30 14:00:00	1
!116adb6b	2026-06-30 19:00:00	1
!116adb6b	2026-07-01 07:00:00	1
!116adb6b	2026-07-01 08:00:00	1
!116adb6b	2026-07-01 10:00:00	1
!116adb6b	2026-07-01 13:00:00	1
!116adb6b	2026-07-01 19:00:00	1
!116adb6b	2026-07-01 22:00:00	1
!116adb6b	2026-07-02 04:00:00	1
!116adb6b	2026-07-02 10:00:00	1
!116adb6b	2026-07-02 13:00:00	1
!116adb6b	2026-07-02 20:00:00	1
!116adb6b	2026-07-02 22:00:00	1
!116adb6b	2026-07-03 01:00:00	1
!116adb6b	2026-07-03 10:00:00	1
