"id","short","long","role","hw","hasPos","lat","lon"
"!6984b180","O1.1","Alicante OpenMesh 1.1","CLIENT_BASE","HELTEC_V4","false",0,0
"!db578d2c","MQTT","CT2JVW-MQTT-8","CLIENT_MUTE","HELTEC_V3","false",0,0
"!f85e458a","SGNB","Serip_GN_Base-GT-8","CLIENT_BASE","XIAO_NRF52_KIT","false",0,0
"!a0cc7298","4 Le","4Leo 7298","CLIENT","HELTEC_V3","false",0,0
"!e34fdc8e","CISL","CadizIoT Sierra de Luna dc8e","ROUTER","NRF52_PROMICRO_DIY","false",0,0
"!14a17d1c","KEL3","EA7KEL T1000e","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!bb8327fc","LLGO","Alex Liligo-8","CLIENT_BASE","TBEAM","false",0,0
"!b15deca0","GE03","CS7ATL-SERPA-RL-8 🇵🇹","ROUTER_LATE","SEEED_SOLAR_NODE","false",0,0
"!5ec2139c","139c","Meshtastic 139c-8","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!9e787664","SEM1","SE-GAL-DRC1 🔋","CLIENT","HELTEC_V3","false",0,0
"!c18989e","Lalo","MU-Lalo fake portatil 📟 989e","CLIENT","NRF52_PROMICRO_DIY","false",0,0
"!da75be50","be50","Meshtastic be50-8","CLIENT","SEEED_XIAO_S3","false",0,0
"!81b71ca0","TryS","Mu-TrySolar 📡","CLIENT_BASE","XIAO_NRF52_KIT","false",0,0
"!db51b080","TKC8","ticklemynausea-HEL1-8","CLIENT","HELTEC_V3","false",0,0
"!9e9f7678","ML69","🐉🇵🇹-CL-8 ","CLIENT","HELTEC_V3","false",0,0
"!5af66c2f","SVH3","@ocsis TeamRibera03🗼☀️⛰️","CLIENT","XIAO_NRF52_KIT","false",0,0
"!7b6929e1","MA10","Juslibol ⛰️📡SFNARROW 🚧 29e1","ROUTER","NRF52_PROMICRO_DIY","false",0,0
"!2ee76a8","sb7","A-Elche-StarBase7","CLIENT","HELTEC_V3","false",0,0
"!a6964fd8","4fd8","4fd8 Sol VRSA 🇵🇹","CLIENT_BASE","HELTEC_V4","false",0,0
"!d27d865c","EA53","EA5ISO MOVIL📟","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!9ea0db70","LHOF","EA7LHO V3 FIJO","CLIENT","HELTEC_V3","false",0,0
"!b03c900c","900c","Meshtastic 900c","ROUTER_LATE","HELTEC_V3","false",0,0
"!d45ab704","MG01","DΞLTΔ-MGØ1-CL-8","CLIENT_MUTE","SEEED_XIAO_S3","false",0,0
