source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!a696428c	!f66f1620	[146375298,3899136789,2321455303,413390354,2609921238,2674325032,793292630]	[-60,-3,-54,-72,-41,-1,-59,-4]	[793292630]	[-24]	1782815158	7	6
!d45ab704	!6c747744	[4201988113,183244580,2658692360]	[20,17,24]	[]	[]	1782815356	7	5
!b4a384d7	!73bb426c	[895485249,2238953487,2283438391,4157971540]	[2,0,-13,43,-5]	[3212135188,2180900300,1989708122,1205713545,2054758917]	[11,-26,32,-7,-1]	1782815386	5	\N
!68361608	!400e06dd	[2661118708]	[48]	[]	[]	1782815625	5	5
!68361608	!400e06dd	[2661118708]	[47]	[]	[]	1782815788	5	5
!d45ab704	!7b99c1cc	[4201988113,4166927754,3679948224,2425773616]	[20,12,-57,-71]	[]	[]	1782815954	7	3
!6b7ee1be	!45ea5a1b	[3562715120,1935380117]	[0,-30,-57]	[3562715120]	[-35]	1782815986	3	3
!408e0f4	!b2a7c3a8	[4124367759,874614420,3473860868,330872986,2180900300,4189515888]	[47,22,17,-29,34,2,-18]	[2661118708]	[40]	1782816295	6	6
!d45ab704	!7c06581d	[4201988113,3679948224,2425773616]	[20,-57,-74]	[]	[]	1782816550	7	4
!7c06581d	!d45ab704	[4201988113,3679948224,2425773616,3663224184,3076650925,3088284318]	[20,-57,-74,0,-5,15,-43]	[3076650925]	[-47]	1782816561	6	5
!68361608	!400e06dd	[2661118708]	[49]	[]	[]	1782816842	5	5
!400e06dd	!68361608	[2238953487,1989708122]	[32,8,-12]	[895153037,1989708122,4189515888,67690740,2661118708]	[-30,35,44,-31,39]	1782816847	4	2
!9e9d72f4	!b2a7c3a8	[4124367759,874614420,3473860868,330872986,2180900300,4189515888,67690740]	[51,15,20,-29,27,5,24,39]	[]	[]	1782816896	7	7
!68361608	!400e06dd	[2661118708]	[46]	[]	[]	1782816938	5	5
!ae6148c4	!f66f1620	[1579599817,2790115920,1130113460]	[25,-7,-71,-38]	[1261230046,2335920352]	[-81,-42]	1782816959	4	2
!e53626b0	!41560f59	[1576445195,3858178101,2180900300,4189515888,49127776,2661118708]	[38,46,-11,0,16,49]	[]	[]	1782816972	5	1
!e53626b0	!41560f59	[1576445195,3858178101,4157971540,895485249,4189515888,67690740,2661118708]	[49,46,45,22,5,16,40]	[]	[]	1782817016	5	\N
!68361608	!400e06dd	[2661118708]	[48]	[]	[]	1782817048	5	5
!d45ab704	!23caa321	[4201988113,3679948224,2425773616,500342640]	[20,-59,-67,-69]	[]	[]	1782817151	7	3
!d45ab704	!b03bb298	[4201988113,183244580,2658692360]	[16,21,24]	[]	[]	1782817749	7	5
!b03bb298	!d45ab704	[4201988113,183244580,3040558214]	[16,21,-4,18]	[]	[]	1782817750	4	4
!b03c553c	!dd0fcd5	[1585045861,1708064303,3473860868,949693904,895485249,4189515888,80063992,2661118708]	[-25,32,37,8,16,7,4,50]	[]	[]	1782818027	7	\N
!69853f20	!8487f01c	[2887735244,47129237,4157971540,895485249,4189515888,80063992,2661118708]	[32,-15,15,22,10,35,49]	[]	[]	1782818171	5	\N
!d45ab704	!db2f7aa0	[4201988113,183244580,2658692360]	[20,20,26]	[]	[]	1782818350	7	5
!db2f7aa0	!d45ab704	[4201988113,183244580,2658692360,500078842,2335920352,1921393262,4027071333,793292630]	[20,20,26,0,-10,-35,-59,-42]	[2226266123,793292630]	[30,-55]	1782818374	7	5
!e00ceb80	!69826b18	[2887735244,1509040717,2697685892,2238953487,67690740,2661118708]	[19,-20,21,-18,-18,43]	[]	[]	1782818670	5	\N
!b03c553c	!2fb699c	[1708064303,337120857,2996808756,895485249,4189515888,67690740,2661118708]	[30,-36,-11,44,12,25,39]	[]	[]	1782818821	7	1
!d45ab704	!b8137a9e	[4201988113,183244580,2658692360]	[21,13,24]	[]	[]	1782818952	7	5
!b8137a9e	!d45ab704	[4201988113,183244580,2658692360,3663224184,3076650925]	[21,13,24,0,-10,16]	[2080790557,2303373878,3076650925]	[9,-60,-26]	1782818960	4	1
!9388f5c0	!a1d89ebc	[1771866968,1770383244]	[-66,-33]	[]	[]	1782819149	4	3
!9388f5c0	!a1d89ebc	[1771866968,1259299212]	[-67,-13]	[]	[]	1782819205	4	3
!e00ceb80	!6983cbf4	[2887735244,3858178101,1380595206,4157971540,895485249,4189515888,67690740,2661118708]	[24,-11,47,-5,22,8,32,42]	[]	[]	1782819226	5	\N
!e00ceb80	!69826b18	[2887735244,47129237,4157971540,895485249,4189515888,67690740,2661118708]	[26,-17,17,14,9,23,43]	[]	[]	1782819287	5	\N
!69826b18	!e00ceb80	[2887735244,800492922,1762180239]	[26,-32,-2,45]	[2887735244,1509040717,2180900300,4189515888,67690740,2661118708]	[32,-16,-28,-4,17,44]	1782819297	5	\N
!ea1b39e8	!1c0663af	[2658691508,4294967295]	[0,-128,-34]	[1433450410]	[8]	1782819309	4	3
!69826b18	!69853f20	[2887735244,2661321032,2846789700,1770138820,800492922,1762180239]	[43,6,13,47,18,-3,43]	[2887735244,1509040717,2697685892,2238953487,4189515888,67690740,2661118708]	[-2,-25,12,-22,50,29,40]	1782819332	5	\N
!d45ab704	!1de91bac	[4201988113,3679948224,3040558214]	[20,-50,-68]	[]	[]	1782819549	7	4
!1de91bac	!d45ab704	[4201988113,3679948224,3040558214,500078842]	[20,-50,-68,0,-49]	[1970246004]	[-43]	1782819599	5	5
!b03c553c	!acaad4e0	[1585045861,874614420,3473860868,330872986,4189515888,67690740,2661118708]	[-26,45,23,-29,-37,16,40]	[]	[]	1782819720	7	1
!68361608	!400e06dd	[2661118708]	[48]	[]	[]	1782819724	5	5
!346c3d0d	!56960aa6	[2402872464]	[22,-43]	[]	[-20]	1782820031	3	3
!68361608	!400e06dd	[2661118708]	[52]	[]	[]	1782820058	5	5
!d45ab704	!7f631093	[4201988113,3679948224,2674325032]	[21,-68,-16]	[]	[]	1782820151	7	4
!68361608	!400e06dd	[2661118708]	[49]	[]	[]	1782820239	5	5
!68361608	!c8f72190	[2661118708]	[47]	[]	[]	1782820275	5	5
!c8f72190	!68361608	[4189515888,895485249,2996808756]	[43,23,44,43]	[4157971540,4253751056,2238953487,49127776,2661118708]	[-17,22,40,-22,48]	1782820282	4	\N
!9388f5c0	!186fa58c	[1771866968,1259299212]	[-63,-59]	[]	[]	1782820286	4	3
!186fa58c	!9388f5c0	[1771866968,1259299212]	[-63,-59,0]	[]	[]	1782820286	3	3
!68361608	!400e06dd	[2661118708]	[50]	[]	[]	1782820315	5	5
!400e06dd	!68361608	[49127776,4189515888,1989708122]	[49,19,31,30]	[2956788972,1247613214,1205713545,357003140]	[38,-13,-7,-15]	1782820323	4	\N
!9388f5c0	!c1e308da	[1771866968,1770383244]	[-66,-34]	[]	[]	1782820696	4	3
!d45ab704	!37b0f4a5	[4201988113,3679948224,2674325032]	[23,-52,-22]	[]	[]	1782820751	7	4
!37b0f4a5	!d45ab704	[4201988113,3679948224,2674325032,3665149616,1970246004,1018564562]	[23,-52,-22,0,-33,-61,-29]	[]	[]	1782820765	5	5
!9388f5c0	!ba729974	[1771866968,1770383244]	[-65,-34]	[]	[]	1782821124	4	3
!ba729974	!9388f5c0	[1771866968,1770383244,3663224184,3076650925,3776210298]	[-65,-34,0,-6,-25,-67]	[437940958,3776210298,268920437,3076650925]	[23,-44,-15,-31]	1782821140	4	\N
!f145a48	!45ea5a1b	[3935294432,4134508972,1795339522,757109783,181098052]	[0,-12,0,-57,23,13]	[]	[]	1782821146	5	5
!9388f5c0	!379daa2c	[1771866968,1770383244]	[-62,-54]	[]	[]	1782821259	4	3
!d45ab704	!febd383d	[4201988113,183244580,2658692360]	[22,5,22]	[]	[]	1782821356	7	5
!c7107660	!4710ed0b	[1748375048,4189515888,1989708122,895153037,1140590122]	[3,44,32,45,-30,52]	[1247613214,1205713545,357003140]	[-21,4,-7]	1782821399	5	2
!c7107660	!4710ed0b	[67690740,4189515888,1989708122,895153037,1140590122]	[50,44,31,46,-33,54]	[1247613214,1205713545,2054758917]	[-9,4,-20]	1782821428	5	2
!37b0f4a5	!435a5f40	[4294967295]	[-128,-38]	[1970246004]	[-60]	1782821565	3	3
!d99531d3	!d085b08e	[359683932]	[-11]	[]	[]	1782821643	5	4
!d45ab704	!f0083b65	[4201988113,183244580,3040558214]	[16,19,-14]	[]	[]	1782821951	7	5
!68361608	!400e06dd	[2661118708]	[49]	[]	[]	1782822200	5	5
!d15c4a61	!69859a9c	[470180783]	[4]	[]	[]	1782822203	4	4
!fc06cf66	!f66f1620	[4294967295,2790115920,793292630]	[-128,6,-43,-61]	[49018852,793292630]	[20,-62]	1782822364	5	3
!acab8c84	!a0cb6b84	[2238953487,4189515888,67690740,2661118708]	[-39,47,20,40]	[]	[]	1782822495	4	2
!a0cb6b84	!acab8c84	[2238953487]	[-39,3]	[4253751056,2238953487,49127776,2661118708]	[-23,18,-26,45]	1782822497	3	\N
!d45ab704	!ae609d3c	[4201988113,183244580,130366534]	[16,12,-37]	[]	[]	1782822555	7	4
!ae609d3c	!d45ab704	[4201988113,183244580,130366534,1970246004,2335920352,2925611204]	[16,12,-37,0,-1,-63,7]	[]	[]	1782822563	6	6
!f6fac1c4	!2ee6c64	[2715019176,67544660,4018352072,2914283415,2666209492,785699860,2321455303]	[-34,-54,-76,-39,-31,-49,-68]	[]	[]	1782822779	7	\N
!db2f7aa0	!1c0663af	[2914485811,2674325032,793292630]	[-80,-14,-74,11]	[3417138161,793292630]	[23,-47]	1782822910	4	2
!d45ab704	!a696428c	[4201988113,3679948224,2674325032]	[17,-51,-17]	[]	[]	1782823149	7	4
!a696428c	!d45ab704	[4201988113,3679948224,2674325032,793292630]	[17,-51,-17,-60,9]	[793292630,2794870668]	[-42,-44]	1782823156	5	4
!61c6d594	!56960aa6	[70460384,861946068,1010036191,2217582757]	[0,-70,-68,-42,25]	[]	[]	1782823315	4	4
!2776e865	!3645e4b0	[2846789700,2887735244,310497188,3142606121,554576596,2133217669,3202847862,633747046]	[-8,21,-22,-3,33,21,10,25]	[2133217669,554576596,3142606121,3858178101,4157971540,2238953487,1989708122,1247613214]	[-10,19,29,-17,49,-25,8,-12]	1782823567	7	\N
!6b7ee1be	!56960aa6	[3562715120,1935380117]	[0,-22,-48]	[3562715120]	[-38]	1782823612	3	3
!ed8e0520	!d22a149d	[2715249580]	[25]	[]	[]	1782823664	6	6
!68361608	!81fde5cc	[2661118708]	[48]	[]	[]	1782823815	5	5
!81fde5cc	!68361608	[4189515888,1989708122,3109363586]	[42,33,18,39]	[1989708122,4189515888,67690740,2661118708]	[36,46,20,39]	1782823823	3	1
!68361608	!7a792205	[2661118708]	[48]	[]	[]	1782823961	5	5
!7a792205	!68361608	[2661118708,1168332476]	[48,0,47]	[]	[]	1782823962	3	3
!6985e78c	!b2a7ec5c	[]	[0]	[]	[]	1782824005	2	2
!9e18f122	!b2a7ec5c	[]	[24]	[]	[28]	1782824067	2	2
!d45ab704	!48cd977b	[4201988113,3679948224,2425773616]	[19,-55,-65]	[]	[]	1782824352	7	4
!18a3d612	!56960aa6	[1129887736,793292630]	[0,-63,-61]	[2697707020]	[-16]	1782824514	4	3
!5df6a50b	!7964fe4c	[3858178101,4157971540,3109363586,4189515888,67690740,2661118708]	[8,11,11,-28,1,40]	[]	[]	1782824729	5	\N
!da5af114	!2425f309	[47129237,4294967295,2180900300,2238953487,49127776,2661118708]	[9,-128,-22,11,-23,48]	[]	[]	1782824792	7	2
!18a3d612	!1c0663af	[]	[-73]	[3538136642]	[-31]	1782824873	2	1
!d45ab704	!1de91898	[4201988113,183244580,2658692360]	[18,16,23]	[]	[]	1782824951	7	5
!1de91898	!d45ab704	[4201988113,183244580,2658692360]	[18,16,23,0]	[]	[]	1782824951	4	4
!b761f7ad	!56960aa6	[3663224184]	[0,-13]	[]	[]	1782825111	3	3
!b03c553c	!f5d4db8f	[1585045861,1708064303,3473860868,330872986,2238953487,49127776,2661118708]	[-13,35,36,-29,-12,-24,49]	[]	[]	1782825124	7	1
!68361608	!62cfe7e4	[2661118708]	[48]	[]	[]	1782825147	5	5
!62cfe7e4	!68361608	[2238953487,4157971540,4130115721,3371639184,3858178101]	[32,-15,-32,-5,-3,18]	[1659905460,3028808242,3085638452,895485249,4189515888,2661118708]	[-28,5,-8,7,3,-25]	1782825172	5	\N
!68361608	!400e06dd	[2661118708]	[49]	[]	[]	1782825242	5	5
!68361608	!400e06dd	[2661118708]	[49]	[]	[]	1782825296	5	5
!1281cfa4	!433a7794	[2956805224,1770310712,1576445195,210181710]	[49,-2,40,-30,17]	[4157971540,2180900300,4189515888,2661118708]	[-20,-21,-7,-22]	1782825306	4	1
!c871e4e	!433a7794	[2956805224,1770310712,1576445195]	[49,12,42,-29]	[310497188,3371639184,1509040717,2180900300,4189515888,2661118708]	[15,-15,-27,-20,-10,-23]	1782825368	5	1
!8f38ec90	!56960aa6	[1129887736,793292630,2794870668,413390354]	[0,-57,-46,-62,8]	[]	[27]	1782825415	5	5
!d45ab704	!b03d10c8	[4201988113,3679948224,2425773616]	[19,-63,-49]	[]	[]	1782825551	7	4
!fc773c78	!56960aa6	[1770383244]	[0,24]	[1770383244]	[26]	1782825709	3	3
!fc773c78	!56960aa6	[1770383244]	[0,24]	[4145976564]	[-13]	1782825710	3	3
!fa754011	!b53b3c86	[183244580,2658692360]	[-4,23]	[]	[]	1782825717	4	3
!b53b3c86	!fa754011	[183244580]	[-4,-14]	[]	[]	1782825718	3	3
!fa754011	!d4a88918	[183244580,2658692360]	[6,24]	[]	[]	1782825755	4	3
!d4a88918	!fa754011	[183244580,3040558214]	[6,-16,9]	[75880550]	[-63]	1782825761	3	2
!ece56498	!45ea5a1b	[3371964171]	[0,-31]	[]	[]	1782825806	3	3
!a480d39b	!433a7794	[2956805224,1770310712,1576445195,3858178101,3372465412,4189799532]	[51,30,46,43,42,-22,20]	[4189799532,3372465412,3858178101,4157971540,895485249,4189515888,2661118708]	[-22,-6,40,46,24,2,-28]	1782825812	5	\N
!fa754011	!1d2ec4ba	[4166927754,3679948224,3040558214]	[14,-52,-56]	[]	[]	1782825817	4	1
!1d2ec4ba	!fa754011	[4166927754,3679948224]	[14,-52,-34]	[3040558214]	[-30]	1782825821	4	3
!fa754011	!da5ad5d0	[4166927754,3679948224,489604282]	[18,-60,-53]	[]	[]	1782825872	4	1
!f85e458a	!fa754011	[]	[19]	[3679948224,489604282]	[-59,-47]	1782825902	2	\N
!fa754011	!9eaea996	[4166927754,3679948224,2425773616]	[15,-50,-57]	[]	[]	1782825933	4	1
!9eaea996	!fa754011	[4166927754,3679948224,2425773616,501815448]	[15,-50,-57,0,29]	[501815448]	[22]	1782825938	4	4
!e114657a	!433de4fc	[3663224184,3076650925]	[0,-28,-44]	[3076650925]	[-14]	1782825975	4	3
!7c53c46	!fa754011	[183244580]	[15,-32]	[3145934844]	[-63]	1782826007	3	3
!976c9549	!56960aa6	[2896933764]	[0,24]	[]	[]	1782826011	3	3
!2ba4450c	!e53626b0	[3663393044,47129237,124124794,4157971540,895485249,4189515888,2661118708]	[-2,43,11,23,-1,5,-30]	[]	[]	1782826099	7	2
!e53626b0	!2ba4450c	[3663393044,47129237,1273304403,181102336,3372465412,210181710,3858178101,1576445195]	[-2,43,5,2,29,-11,40,45]	[1576445195,3858178101,4157971540,895485249,4189515888,2661118708]	[44,46,46,23,6,-34]	1782826107	5	1
!d45ab704	!c83d0d90	[4201988113,183244580,2658692360]	[24,10,27]	[]	[]	1782826170	7	5
!e53626b0	!406cc24	[1576445195,3858178101,2180900300,2238953487,67690740,2661118708]	[45,46,-25,18,-18,42]	[]	[]	1782826288	5	1
!a6fdafa4	!56960aa6	[2402872464,413390354,2674325032,268920437]	[23,-2,-47,-51,-71]	[]	[]	1782826322	4	4
!ece56498	!45ea5a1b	[]	[-39]	[2839116536]	[-60]	1782826414	2	1
!2217b74	!1c0663af	[413390354]	[-72,14]	[2710848064,2402872464,1452673702]	[-1,-29,26]	1782826501	3	1
!55db7e38	!56960aa6	[1970246004,2335920352]	[0,-21,-42]	[703629561,1970246004]	[19,-63]	1782826612	4	3
!fe1d3a9d	!4710ed0b	[80063992,4189515888]	[34,10,44]	[450582460,4189515888,2661118708]	[40,12,-26]	1782826731	4	2
!acab8c84	!d9e01680	[3109363586,4189515888,2661118708]	[0,-24,-28]	[]	[]	1782826764	4	2
!d9e01680	!acab8c84	[3109363586,4189515888]	[0,-24,26]	[80063992,2661118708]	[39,47]	1782826766	4	3
!d45ab704	!10e12858	[4201988113,183244580,2658692360]	[23,12,23]	[]	[]	1782826769	7	5
!6b02b502	!56960aa6	[3935294432,810731573,3480804869]	[0,15,-68,3]	[]	[]	1782826916	3	3
!4b411337	!433a7794	[2956805224,1576445195,3858178101,245468369]	[49,-19,48,19,43]	[245468369,1380595206,4157971540,895485249,4189515888,2661118708]	[44,1,-11,16,6,-30]	1782826950	4	\N
!2f48af56	!56960aa6	[1129887736]	[0,-63]	[]	[]	1782827210	1	1
!81fde5cc	!9edbc432	[105950983,4157971540]	[23,31,-15]	[4189515888,2661118708]	[1,-30]	1782827232	2	1
!d45ab704	!4c59fd8	[4201988113,183244580,2658692360]	[28,11,23]	[]	[]	1782827353	7	5
!9e9facec	!ea8edf70	[1324421640,1244056060,375374411,1576445195,3858178101,4157971540,895485249,4189515888]	[45,42,-26,36,4,49,22,5]	[]	[]	1782827576	7	\N
!deff70e2	!7964fe4c	[3845531312,1576445195,3858411399,3858178101,4157971540,2180900300,4189515888,67690740]	[21,16,46,8,46,1,-2,33]	[]	[]	1782827638	6	\N
!699cb550	!3645e4b0	[2846789700,3371639184,1273304403]	[-15,1,27,-27]	[4274495094,2997299044,1509040717,2697685892,2238953487,67690740,2661118708]	[12,43,-33,20,-3,-18,44]	1782827798	5	\N
!b03c553c	!43b23ac	[874614420,3372465412,3858178101,2283438391,895485249,4189515888,2661118708]	[47,-1,36,-25,17,2,-34]	[]	[]	1782827825	7	2
!c7107660	!15476f84	[1140590122,1247613214,895153037,1989708122,4189515888,2661118708]	[51,0,-32,-3,45,-34]	[]	[]	1782827868	5	2
!15476f84	!c7107660	[1140590122,1247613214,1205713545,2054758917]	[51,0,4,17,52]	[]	[]	1782827869	5	5
!d4a89d2c	!f66f1620	[2790115920,793292630]	[-52,-39,-22]	[3145934844]	[-78]	1782827900	4	4
!c7107660	!b03d04ec	[1140590122,1247613214,1205713545,357003140]	[50,3,6,-30]	[]	[]	1782827943	5	1
!d45ab704	!90965e30	[4201988113,183244580,2658692360]	[26,11,26]	[]	[]	1782827948	7	5
!90965e30	!d45ab704	[4201988113,183244580]	[26,11,-6]	[]	[]	1782827950	4	4
!deff70e2	!7964fe4c	[3845531312,1576445195,3858178101,4157971540,2238953487,4189515888,2661118708]	[-16,44,49,47,-33,46,-35]	[]	[]	1782828005	6	3
!c7107660	!2c991d92	[1140590122,1247613214,1205713545,357003140]	[51,1,1,-32]	[]	[]	1782828099	5	1
!c7107660	!e0648dc0	[1140590122,1247613214,1205713545,357003140]	[54,16,3,-26]	[]	[]	1782828244	5	1
!73691a14	!d085b08e	[2661399716,1584209690,485351072]	[-36,-39,-67]	[]	[]	1782828303	5	2
!dad8851c	!1c0663af	[3663224184,3076650925,3438397661,3145935328]	[0,-6,-61,-67,39]	[3776210298,1999796754,2715387056,2743649340]	[-55,-44,15,-52]	1782828310	4	2
!e5f72035	!ea18cd1	[4157971540,2180900300,4189515888,67690740,2661118708]	[42,-23,-4,26,43]	[]	[]	1782828371	5	1
!da5af114	!a0cbbb68	[4294967295,1509040717,2238953487,49127776,2661118708]	[-128,0,-30,-11,48]	[]	[]	1782828388	7	3
!d45ab704	!b53b3c86	[4201988113,183244580,2658692360]	[24,14,26]	[]	[]	1782828412	7	5
!b53b3c86	!d45ab704	[4201988113,183244580]	[24,14,-16]	[]	[]	1782828412	4	4
!d45ab704	!d4a89d2c	[4201988113,183244580,2658692360]	[20,12,28]	[]	[]	1782828513	7	5
!d4a89d2c	!d45ab704	[4201988113,183244580]	[20,12,-55]	[3679948224]	[3]	1782828519	4	3
!456576e1	!d45ab704	[4201988113,183244580,2425773616]	[21,8,-6,-1]	[2425773616]	[-20]	1782828556	3	2
!d45ab704	!456576e1	[4201988113,183244580,268920437,3076650925,3776210298,145528768,2715387056,2743649340]	[21,8,-77,-40,-28,-39,-10,-45]	[]	[]	1782828570	7	\N
!127cebf3	!45ea5a1b	[]	[43]	[]	[41]	1782828649	2	2
!875e3787	!9e9e1be0	[4294967295]	[-128,-22]	[]	[41]	1782829079	3	3
