"id","short","long","role","hw","hasPos","lat","lon"
"!ccfc64c","c64c","SGV__Shredder__1w LF20 SOCALMESH.org","CLIENT_BASE","RAK3401","false",0,0
"!6b539b08","","","CLIENT_BASE","","false",0,0
"!e4311c47","LOM1","Lomita West","CLIENT","RAK4631","false",0,0
"!2ee0590","","","CLIENT","","false",0,0
"!ac9ef78","","","CLIENT","","false",0,0
"!ebaf0790","","","CLIENT_MUTE","","false",0,0
"!fc2daeaf","","","CLIENT","","false",0,0
"!a6964cf4","","","CLIENT_MUTE","","false",0,0
"!74bb969d","","","CLIENT","","false",0,0
"!6a044b79","","","CLIENT","","false",0,0
"!1126ede8","1WT2","1W Test2 ede8 (Check out socalmesh.org)","CLIENT_MUTE","NRF52_PROMICRO_DIY","false",0,0
"!f68aceb","","","CLIENT_BASE","","false",0,0
"!5b62513d","","","ROUTER_CLIENT","","false",0,0
"!8fe3d507","d908","Meshtastic 908Mesh","CLIENT","RAK4631","false",0,0
"!8f04407d","407d","Solar 407d","CLIENT","RAK4631","false",0,0
"!cd193aa","","","CLIENT_MUTE","","false",0,0
"!335c20a8","20a8","Meshtastic 20a8","CLIENT","HELTEC_V3","false",0,0
"!7e412ad5","","","CLIENT","","false",0,0
"!849a88f0","TED1","Temecula EDC 1 C_M","CLIENT","HELTEC_V3","false",0,0
"!a5c23bf","B4SE","BASEDstation - SocalMesh.org","CLIENT_BASE","RAK4631","false",0,0
"!433cef10","ef10","Meshtastic ef10","CLIENT","HELTEC_V3","false",0,0
"!4c576f4","AMBR","AMBER","CLIENT","HELTEC_V4","false",0,0
"!698321fc","","","CLIENT","","false",0,0
"!da63e168","TBSM","T-Beam Supreme Meshtastic e168","CLIENT_MUTE","LILYGO_TBEAM_S3_CORE","false",0,0
"!9a15518f","518f","Meshtastic SRB1","CLIENT","RAK4631","false",0,0
"!7fd30a1c","NPSK","Knapsack37","CLIENT","T_ECHO","false",0,0
"!f937dcb8","rgdc","roguedecoy","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!d3caa58c","","","CLIENT","","false",0,0
"!485d096c","","","CLIENT","","false",0,0
"!5a6c59fa","","","CLIENT","","false",0,0
"!48cf6d98","","","CLIENT_MUTE","","false",0,0
"!a20a0f38","KI6G","KB81 G2 Base","CLIENT","STATION_G2","false",0,0
"!7ed236f4","","","ROUTER_CLIENT","","false",0,0
"!ba1a7abf","AGRF","AG Roof Base","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!7c5b1780","1780","Meshtastic 1780","CLIENT","HELTEC_V3","false",0,0
"!49b5e350","","","CLIENT_MUTE","","false",0,0
"!6520f3bf","Tiki","The Tiki Room","CLIENT_MUTE","THINKNODE_M1","false",0,0
"!8fa67c14","cat1","catz 01","CLIENT","HELTEC_V4","false",0,0
"!b4ba746d","SGVP","SGV Fixed Pigeon","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!8e3cb8e1","RAD3","RAD Three","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!df47fd7d","","","CLIENT","","false",0,0
"!9ee99fec","","","CLIENT","","false",0,0
"!816f03cc","","","CLIENT","","false",0,0
"!38c90763","⚛","Valley Village ⚛","CLIENT","RAK4631","false",0,0
"!433ade18","","","CLIENT_MUTE","","false",0,0
"!9e762108","2108","CM 2108","CLIENT","HELTEC_V3","false",0,0
"!a9efb3c","✝","SGV_Shredder__Azusa","ROUTER","RAK4631","false",0,0
"!aeba3dfb","3dfb","Meshtastic 3dfb","CLIENT","HELTEC_MESH_POCKET","false",0,0
"!e1712d55","2d55","Hrohopar - Card","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!1fe1f937","Cin","Cin M3","CLIENT","THINKNODE_M3","false",0,0
