depth,width,p,warm_dlv,warm_tx,flood_dlv,flood_tx
7,1,0.5,77.3,12.3,1.3,2.0
7,1,0.7,98.0,9.9,10.0,3.1
7,1,0.9,100.0,7.8,46.0,5.7
7,2,0.5,97.0,12.6,39.0,10.1
7,2,0.7,100.0,9.5,74.3,13.9
7,2,0.9,100.0,7.8,90.7,15.3
7,3,0.5,99.7,13.3,86.3,22.2
7,3,0.7,100.0,9.2,95.7,23.5
7,3,0.9,100.0,7.7,95.7,23.6
20,1,0.5,52.0,29.0,0.0,2.0
20,1,0.7,96.3,27.9,0.0,3.3
20,1,0.9,100.0,22.3,11.0,9.2
20,2,0.5,91.0,36.0,8.7,14.4
20,2,0.7,99.3,28.0,43.0,29.1
20,2,0.9,100.0,22.2,65.0,34.5
20,3,0.5,96.7,36.9,70.3,53.4
20,3,0.7,100.0,27.6,88.7,60.3
20,3,0.9,100.0,22.0,89.3,60.0
50,1,0.5,18.7,49.0,0.0,2.0
50,1,0.7,88.7,67.8,0.0,3.3
50,1,0.9,100.0,55.6,0.3,10.1
50,2,0.5,82.0,86.7,0.0,15.8
50,2,0.7,99.7,68.3,14.7,45.4
50,2,0.9,100.0,54.9,31.0,61.3
50,3,0.5,93.0,92.2,44.0,107.7
50,3,0.7,100.0,68.9,82.7,139.9
50,3,0.9,100.0,55.2,80.3,141.0
100,1,0.5,3.3,57.2,0.0,2.0
100,1,0.7,76.3,123.9,0.0,3.3
100,1,0.9,100.0,111.3,0.0,10.1
100,2,0.5,47.7,135.2,0.0,15.8
100,2,0.7,99.0,140.5,2.7,54.5
100,2,0.9,100.0,111.4,11.3,83.4
100,3,0.5,78.3,176.1,26.7,165.4
100,3,0.7,100.0,136.9,66.3,247.4
100,3,0.9,100.0,110.5,64.0,248.8
200,1,0.5,0.0,58.8,0.0,2.0
200,1,0.7,57.3,220.4,0.0,3.3
200,1,0.9,100.0,222.8,0.0,10.1
200,2,0.5,16.7,160.8,0.0,15.8
200,2,0.7,97.3,277.6,0.0,54.9
200,2,0.9,100.0,221.5,1.7,92.0
200,3,0.5,51.3,296.6,8.3,227.1
200,3,0.7,100.0,275.8,50.0,432.5
200,3,0.9,100.0,221.7,43.7,408.1
