policy,scale,equiv_nodes,equiv_active_per_hour,packets_per_hour,mean_util,p95_util,p99_util,tx_per_offered,cohort_delivery,receivers_per_broadcast,pending_at_end
managed current,0.5,250,48,194,2.17,9.48,15.14,12.19,44.52,7.03,0
integrated fast,0.5,250,48,194,2.01,8.54,13.68,11.12,60.17,7.68,0
integrated fast+pivot,0.5,250,48,194,1.58,6.6,10.54,8.84,62.01,5.74,0
integrated full,0.5,250,48,194,3.16,13.51,21.38,17.48,77.18,6.67,71.33
managed current,1.0,499,96,387,4.0,17.31,27.75,11.31,41.02,6.35,0
integrated fast,1.0,499,96,387,3.57,14.82,23.94,9.92,66.08,6.34,0
integrated fast+pivot,1.0,499,96,387,3.09,12.8,20.35,8.6,66.13,5.27,0
integrated full,1.0,499,96,387,5.44,22.94,35.99,14.97,79.08,5.62,134.33
managed current,1.5,748,144,580,5.45,23.19,37.98,10.33,39.04,5.79,0
integrated fast,1.5,748,144,580,5.0,20.38,33.1,9.27,66.59,5.79,0
integrated fast+pivot,1.5,748,144,580,4.43,18.24,28.96,8.21,66.8,4.91,0
integrated full,1.5,748,144,580,7.44,30.77,49.31,13.74,78.46,5.01,188.67
managed current,2.0,998,192,774,6.76,28.52,47.1,9.68,36.96,5.26,0
integrated fast,2.0,998,192,774,6.36,25.69,41.96,8.87,67.76,5.36,0
integrated fast+pivot,2.0,998,192,774,5.75,23.42,37.09,8.12,68.68,4.62,0
integrated full,2.0,998,192,774,9.21,38.03,60.52,12.88,78.78,4.52,267.33
managed current,2.5,1248,240,968,7.81,32.56,53.69,9.02,35.26,4.95,0
integrated fast,2.5,1248,240,968,7.77,31.1,50.92,8.69,67.84,5.01,0
integrated fast+pivot,2.5,1248,240,968,7.1,28.26,46.99,8.02,67.78,4.33,0
integrated full,2.5,1248,240,968,11.09,44.67,72.86,12.49,77.72,4.0,350.33
managed current,3.0,1497,288,1161,8.66,35.55,59.92,8.39,33.38,4.63,0
integrated fast,3.0,1497,288,1161,8.9,35.4,58.93,8.27,66.76,4.63,0
integrated fast+pivot,3.0,1497,288,1161,8.21,32.83,54.15,7.75,67.24,4.12,0
integrated full,3.0,1497,288,1161,12.73,51.29,84.36,11.94,77.29,3.7,415.67
managed current,4.0,1996,384,1548,10.2,41.04,70.07,7.51,30.7,4.1,0
integrated fast,4.0,1996,384,1548,10.82,42.59,72.29,7.68,65.41,4.01,0
integrated fast+pivot,4.0,1996,384,1548,10.22,40.38,68.13,7.38,65.99,3.62,0
integrated full,4.0,1996,384,1548,15.97,63.79,105.78,11.28,76.92,3.22,563.67
