proto,hour,delivered,sent
FLOOD,0,35,150
FLOOD,1,37,141
FLOOD,2,41,161
FLOOD,3,43,160
FLOOD,4,33,148
FLOOD,5,49,165
FLOOD,6,35,173
FLOOD,7,48,176
FLOOD,8,37,181
FLOOD,9,45,180
FLOOD,10,51,168
FLOOD,11,58,182
FLOOD,12,47,182
FLOOD,13,48,191
FLOOD,14,51,164
FLOOD,15,61,174
FLOOD,16,48,176
FLOOD,17,48,160
FLOOD,18,46,162
FLOOD,19,41,164
FLOOD,20,38,153
FLOOD,21,38,155
FLOOD,22,42,184
FLOOD,23,36,178
FLOOD,24,32,178
FLOOD,25,38,187
FLOOD,26,44,182
FLOOD,27,37,179
FLOOD,28,60,173
FLOOD,29,44,165
FLOOD,30,45,170
FLOOD,31,42,167
FLOOD,32,42,182
FLOOD,33,46,189
FLOOD,34,68,204
FLOOD,35,56,183
FLOOD,36,53,191
FLOOD,37,46,197
FLOOD,38,51,204
FLOOD,39,46,173
FLOOD,40,58,162
FLOOD,41,44,159
FLOOD,42,45,158
FLOOD,43,36,142
FLOOD,44,44,146
FLOOD,45,57,185
FLOOD,46,40,158
FLOOD,47,41,167
FLOOD,48,41,163
FLOOD,49,49,160
FLOOD,50,39,174
FLOOD,51,50,182
FLOOD,52,52,186
FLOOD,53,60,191
FLOOD,54,35,194
FLOOD,55,42,181
FLOOD,56,29,188
FLOOD,57,57,203
FLOOD,58,53,207
FLOOD,59,52,204
FLOOD,60,62,210
FLOOD,61,57,195
FLOOD,62,54,202
FLOOD,63,50,199
FLOOD,64,49,183
FLOOD,65,52,182
FLOOD,66,51,192
FLOOD,67,52,164
FLOOD,68,47,173
FLOOD,69,43,171
FLOOD,70,45,169
FLOOD,71,40,157
FLOOD,72,47,198
FLOOD,73,47,188
FLOOD,74,43,184
FLOOD,75,51,193
FLOOD,76,56,192
FLOOD,77,53,182
FLOOD,78,42,193
FLOOD,79,43,187
FLOOD,80,41,191
FLOOD,81,52,197
FLOOD,82,42,201
FLOOD,83,49,210
FLOOD,84,46,207
FLOOD,85,50,203
FLOOD,86,55,185
FLOOD,87,55,198
FLOOD,88,46,187
FLOOD,89,49,174
FLOOD,90,53,181
FLOOD,91,38,162
FLOOD,92,57,184
FLOOD,93,48,186
FLOOD,94,50,188
FLOOD,95,45,185
FLOOD,96,51,201
FLOOD,97,49,198
FLOOD,98,55,195
FLOOD,99,47,189
FLOOD,100,48,195
FLOOD,101,52,192
FLOOD,102,50,192
FLOOD,103,54,182
FLOOD,104,47,183
FLOOD,105,48,191
