network,proto,cover_reachable,tx_per_flood,mean_util,over_cap
norway,plain flood,20.2,9.7,0.1,0.0
norway,persist R=3,40.4,37.5,0.1,0.0
norway,SETPOINT,46.0,59.0,0.2,0.0
bay-area,plain flood,2.2,4.7,0.0,0.0
bay-area,persist R=3,7.4,30.3,0.0,0.0
bay-area,SETPOINT,8.9,49.3,0.0,0.0
florida,plain flood,1.1,3.8,0.0,0.0
florida,persist R=3,2.3,15.9,0.0,0.0
florida,SETPOINT,3.5,32.5,0.1,0.0
socal,plain flood,7.4,10.9,0.0,0.0
socal,persist R=3,16.3,46.6,0.1,0.0
socal,SETPOINT,18.8,72.3,0.1,0.0
meshtastic-pt,plain flood,10.0,14.6,0.0,0.0
meshtastic-pt,persist R=3,20.0,55.3,0.0,0.0
meshtastic-pt,SETPOINT,23.6,86.6,0.0,0.0
italia,plain flood,13.1,1.6,0.0,0.0
italia,persist R=3,16.9,4.9,0.0,0.0
italia,SETPOINT,21.8,8.8,0.0,0.0
